Kabupaten/Kota,Upah Minimum
Kabupaten Pacitan,2364287.0
Kabupaten Ponorogo,2402959.0
Kabupaten Trenggalek,2378784.0
Kabupaten Tulungagung,2470800.0
Kabupaten Blitar,2413974.0
Kabupaten Kediri,2492811.0
Kabupaten Malang,3553530.0
Kabupaten Lumajang,2429764.0
Kabupaten Jember,2838642.0
Kabupaten Banyuwangi,2810139.0
Kabupaten Bondowoso,2347359.0
Kabupaten Situbondo,2335209.0
Kabupaten Probolinggo,2989407.0
Kabupaten Pasuruan,4866890.0
Kabupaten Sidoarjo,4870511.0
Kabupaten Mojokerto,4856026.0
Kabupaten Jombang,3137004.0
Kabupaten Nganjuk,2405255.0
Kabupaten Madiun,2400321.0
Kabupaten Magetan,2406719.0
Kabupaten Ngawi,2397928.0
Kabupaten Bojonegoro,2525132.0
Kabupaten Tuban,3050400.0
Kabupaten Lamongan,3012164.0
Kabupaten Gresik,4874133.0
Kabupaten Bangkalan,2397550.0
Kabupaten Sampang,2335661.0
Kabupaten Pamekasan,2376614.0
Kabupaten Sumenep,2406551.0
Kota Kediri,2572361.0
Kota Blitar,2481450.0
Kota Malang,3507693.0
Kota Probolinggo,2876657.0
Kota Pasuruan,3358557.0
Kota Mojokerto,3031000.0
Kota Madiun,2422105.0
Kota Surabaya,4961753.0
Kota Batu,3360466.0
Jawa Timur,2305985.0
