Kabupaten/Kota Se Jawa Timur;Tingkat Pengangguran Terbuka
Kabupaten Pacitan;1.56
Kabupaten Ponorogo;4.19
Kabupaten Trenggalek;3.9
Kabupaten Tulungagung;4.12
Kabupaten Blitar;4.77
Kabupaten Kediri;5.1
Kabupaten Malang;5.13
Kabupaten Lumajang;3.28
Kabupaten Jember;3.23
Kabupaten Banyuwangi;4.03
Kabupaten Bondowoso;3.63
Kabupaten Situbondo;3.15
Kabupaten Probolinggo;3
Kabupaten Pasuruan;5.02
Kabupaten Sidoarjo;6.49
Kabupaten Mojokerto;3.87
Kabupaten Jombang;3.75
Kabupaten Nganjuk;3.87
Kabupaten Madiun;4.34
Kabupaten Magetan;3.28
Kabupaten Ngawi;2.4
Kabupaten Bojonegoro;4.42
Kabupaten Tuban;4.28
Kabupaten Lamongan;4.34
Kabupaten Gresik;6.45
Kabupaten Bangkalan;5.35
Kabupaten Sampang;2.5
Kabupaten Pamekasan;1.64
Kabupaten Sumenep;1.69
Kota Kediri;3.91
Kota Blitar;5.11
Kota Malang;6.1
Kota Probolinggo;4.44
Kota Pasuruan;4.63
Kota Mojokerto;3.76
Kota Madiun;4.3
Kota Surabaya;4.91
Kota Batu;3.63
