nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,PERUSAHAAN SEDANG,2024,117
KABUPATEN BANYUWANGI,PERUSAHAAN SEDANG,2024,534
KABUPATEN BOJONEGORO,PERUSAHAAN SEDANG,2024,312
KABUPATEN BONDOWOSO,PERUSAHAAN SEDANG,2024,52
KABUPATEN GRESIK,PERUSAHAAN SEDANG,2024,1842
KABUPATEN JEMBER,PERUSAHAAN SEDANG,2024,692
KABUPATEN JOMBANG,PERUSAHAAN SEDANG,2024,338
KABUPATEN LAMONGAN,PERUSAHAAN SEDANG,2024,368
KABUPATEN LUMAJANG,PERUSAHAAN SEDANG,2024,95
KABUPATEN MAGETAN,PERUSAHAAN SEDANG,2024,43
KABUPATEN NGANJUK,PERUSAHAAN SEDANG,2024,158
KABUPATEN NGAWI,PERUSAHAAN SEDANG,2024,119
KABUPATEN PACITAN,PERUSAHAAN SEDANG,2024,76
KABUPATEN PAMEKASAN,PERUSAHAAN SEDANG,2024,200
KABUPATEN PONOROGO,PERUSAHAAN SEDANG,2024,132
KABUPATEN SAMPANG,PERUSAHAAN SEDANG,2024,19
KABUPATEN SIDOARJO,PERUSAHAAN SEDANG,2024,2928
KABUPATEN SITUBONDO,PERUSAHAAN SEDANG,2024,200
KABUPATEN SUMENEP,PERUSAHAAN SEDANG,2024,57
KABUPATEN TRENGGALEK,PERUSAHAAN SEDANG,2024,89
KABUPATEN TUBAN,PERUSAHAAN SEDANG,2024,353
KABUPATEN TULUNGAGUNG,PERUSAHAAN SEDANG,2024,340
KOTA BATU,PERUSAHAAN SEDANG,2024,181
KOTA BLITAR,PERUSAHAAN SEDANG,2024,258
KOTA KEDIRI,PERUSAHAAN SEDANG,2024,855
KOTA MADIUN,PERUSAHAAN SEDANG,2024,490
KOTA MALANG,PERUSAHAAN SEDANG,2024,2306
KOTA MOJOKERTO,PERUSAHAAN SEDANG,2024,944
KOTA PASURUAN,PERUSAHAAN SEDANG,2024,1316
KOTA PROBOLINGGO,PERUSAHAAN SEDANG,2024,417
KOTA SURABAYA,PERUSAHAAN SEDANG,2024,7259
