nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,PERUSAHAAN KECIL,2024,133
KABUPATEN BANYUWANGI,PERUSAHAAN KECIL,2024,812
KABUPATEN BOJONEGORO,PERUSAHAAN KECIL,2024,545
KABUPATEN BONDOWOSO,PERUSAHAAN KECIL,2024,167
KABUPATEN GRESIK,PERUSAHAAN KECIL,2024,1742
KABUPATEN JEMBER,PERUSAHAAN KECIL,2024,916
KABUPATEN JOMBANG,PERUSAHAAN KECIL,2024,479
KABUPATEN LAMONGAN,PERUSAHAAN KECIL,2024,733
KABUPATEN LUMAJANG,PERUSAHAAN KECIL,2024,177
KABUPATEN MAGETAN,PERUSAHAAN KECIL,2024,132
KABUPATEN NGANJUK,PERUSAHAAN KECIL,2024,296
KABUPATEN NGAWI,PERUSAHAAN KECIL,2024,179
KABUPATEN PACITAN,PERUSAHAAN KECIL,2024,125
KABUPATEN PAMEKASAN,PERUSAHAAN KECIL,2024,256
KABUPATEN PONOROGO,PERUSAHAAN KECIL,2024,344
KABUPATEN SAMPANG,PERUSAHAAN KECIL,2024,69
KABUPATEN SIDOARJO,PERUSAHAAN KECIL,2024,3638
KABUPATEN SITUBONDO,PERUSAHAAN KECIL,2024,218
KABUPATEN SUMENEP,PERUSAHAAN KECIL,2024,169
KABUPATEN TRENGGALEK,PERUSAHAAN KECIL,2024,109
KABUPATEN TUBAN,PERUSAHAAN KECIL,2024,501
KABUPATEN TULUNGAGUNG,PERUSAHAAN KECIL,2024,458
KOTA BATU,PERUSAHAAN KECIL,2024,215
KOTA BLITAR,PERUSAHAAN KECIL,2024,489
KOTA KEDIRI,PERUSAHAAN KECIL,2024,1167
KOTA MADIUN,PERUSAHAAN KECIL,2024,679
KOTA MALANG,PERUSAHAAN KECIL,2024,3010
KOTA MOJOKERTO,PERUSAHAAN KECIL,2024,960
KOTA PASURUAN,PERUSAHAAN KECIL,2024,1200
KOTA PROBOLINGGO,PERUSAHAAN KECIL,2024,454
KOTA SURABAYA,PERUSAHAAN KECIL,2024,11025
