Kabupaten/Kota Se Jawa Timur,
,Gini Rasio Menurut Kabupaten/Kota di Jawa Timur
,2024
Kabupaten Pacitan,0.327
Kabupaten Ponorogo,0.326
Kabupaten Trenggalek,0.35
Kabupaten Tulungagung,0.321
Kabupaten Blitar,0.353
Kabupaten Kediri,0.3
Kabupaten Malang,0.343
Kabupaten Lumajang,0.363
Kabupaten Jember,0.321
Kabupaten Banyuwangi,0.312
Kabupaten Bondowoso,0.333
Kabupaten Situbondo,0.385
Kabupaten Probolinggo,0.339
Kabupaten Pasuruan,0.331
Kabupaten Sidoarjo,0.327
Kabupaten Mojokerto,0.337
Kabupaten Jombang,0.302
Kabupaten Nganjuk,0.289
Kabupaten Madiun,0.309
Kabupaten Magetan,0.371
Kabupaten Ngawi,0.289
Kabupaten Bojonegoro,0.31
Kabupaten Tuban,0.335
Kabupaten Lamongan,0.281
Kabupaten Gresik,0.322
Kabupaten Bangkalan,0.301
Kabupaten Sampang,0.233
Kabupaten Pamekasan,0.301
Kabupaten Sumenep,0.308
Kota Kediri,0.337
Kota Blitar,0.353
Kota Malang,0.422
Kota Probolinggo,0.344
Kota Pasuruan,0.334
Kota Mojokerto,0.357
Kota Madiun,0.435
Kota Surabaya,0.381
Kota Batu,0.327
Jawa Timur,0.372
