nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,JUMLAH PERUSAHAAN,2024,261
KABUPATEN BANYUWANGI,JUMLAH PERUSAHAAN,2024,1541
KABUPATEN BOJONEGORO,JUMLAH PERUSAHAAN,2024,987
KABUPATEN BONDOWOSO,JUMLAH PERUSAHAAN,2024,245
KABUPATEN GRESIK,JUMLAH PERUSAHAAN,2024,4433
KABUPATEN JEMBER,JUMLAH PERUSAHAAN,2024,1765
KABUPATEN JOMBANG,JUMLAH PERUSAHAAN,2024,1051
KABUPATEN LAMONGAN,JUMLAH PERUSAHAAN,2024,1303
KABUPATEN LUMAJANG,JUMLAH PERUSAHAAN,2024,372
KABUPATEN MAGETAN,JUMLAH PERUSAHAAN,2024,207
KABUPATEN NGANJUK,JUMLAH PERUSAHAAN,2024,555
KABUPATEN NGAWI,JUMLAH PERUSAHAAN,2024,346
KABUPATEN PACITAN,JUMLAH PERUSAHAAN,2024,246
KABUPATEN PAMEKASAN,JUMLAH PERUSAHAAN,2024,477
KABUPATEN PONOROGO,JUMLAH PERUSAHAAN,2024,514
KABUPATEN SAMPANG,JUMLAH PERUSAHAAN,2024,95
KABUPATEN SIDOARJO,JUMLAH PERUSAHAAN,2024,8045
KABUPATEN SITUBONDO,JUMLAH PERUSAHAAN,2024,484
KABUPATEN SUMENEP,JUMLAH PERUSAHAAN,2024,259
KABUPATEN TRENGGALEK,JUMLAH PERUSAHAAN,2024,221
KABUPATEN TUBAN,JUMLAH PERUSAHAAN,2024,999
KABUPATEN TULUNGAGUNG,JUMLAH PERUSAHAAN,2024,949
KOTA BATU,JUMLAH PERUSAHAAN,2024,430
KOTA BLITAR,JUMLAH PERUSAHAAN,2024,838
KOTA KEDIRI,JUMLAH PERUSAHAAN,2024,2290
KOTA MADIUN,JUMLAH PERUSAHAAN,2024,1288
KOTA MALANG,JUMLAH PERUSAHAAN,2024,6180
KOTA MOJOKERTO,JUMLAH PERUSAHAAN,2024,2443
KOTA PASURUAN,JUMLAH PERUSAHAAN,2024,3490
KOTA PROBOLINGGO,JUMLAH PERUSAHAAN,2024,1121
KOTA SURABAYA,JUMLAH PERUSAHAAN,2024,21118
