kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil,Composite_Risk_Score_Normalized
PROBOLINGGO,475713.0,69.56,17.12,3.25,2553265.95,1166.4,0.58,2.83,681.5,97.45,2022,1.0,5786.35,Kota Malang,2.98,0.275,1849.925974025974,44,0.7171055684065072
SAMPANG,411661.0,65.44,21.61,3.11,1922122.97,990.25,1.08,2.41,805.0,98.8,2022,1.0,3649.21,Kabupaten Sumenep,3.57,0.28,134.16808510638296,13,1.2504651146890085
SIDOARJO,523213.0,81.37,5.36,8.8,4368581.85,2120.3,0.86,5.14,3133.0,101.25,2022,1.0,36647.92,Kota Surabaya,3.16,0.373,347.3739360730594,724,-2.042383536375606
SITUBONDO,356133.0,69.76,11.78,3.38,1942750.77,692.65,0.52,1.68,416.5,96.5,2022,1.0,3435.53,Kabupaten Jember,2.87,0.298,206.4931506849315,50,1.2456910822603262
SUMENEP,427882.0,68.49,18.76,1.36,1978927.22,1138.2,0.68,2.76,557.5,93.65,2022,1.0,6123.27,Kabupaten Sumenep,3.57,0.266,14.891044776119404,35,1.2730049145654474
SURABAYA,652540.0,83.32,4.72,7.62,4375479.19,2895.85,0.79,7.03,8442.0,98.2,2022,1.0,105891.3,Kota Surabaya,3.16,0.388,994.8414285714288,2390,-3.766840708152407
TRENGGALEK,381448.0,71.28,10.96,5.37,1944932.74,738.05,0.59,1.79,617.0,100.8,2022,1.0,3196.18,Kota Kediri,2.33,0.331,44.0061224489796,19,0.8123111667329983
TUBAN,421287.0,70.79,15.02,4.54,2539224.88,1210.85,0.59,2.94,636.5,99.7,2022,1.0,11902.15,Kota Surabaya,3.16,0.345,663.9846511627907,103,0.3938548530686707
TULUNGAGUNG,391888.0,74.14,6.71,6.65,2029358.67,1102.2,0.71,2.67,1003.5,100.1,2022,1.0,6902.2,Kota Kediri,2.33,0.342,42.46147186147186,94,0.2829912422666877
BANGKALAN,469867.25,66.2875,19.4175,7.5825000000000005,1956773.48,1084.2625,1.25,2.62,954.5,97.4,2022,2.0,4184.8,Kota Surabaya,4.89,0.30425,986.4043478046434,37,0.7103336639748513
BANYUWANGI,423391.25,73.31,7.467499999999999,5.1325,2328899.12,1734.375,0.79,4.2,391.0,100.15,2022,2.0,14542.09,Kabupaten Banyuwangi,4.42,0.3345,1287.6558766834537,166,-0.06623269765569319
BATU,576503.75,78.365,3.67,7.4525,2830367.09,218.1375,2.2,0.53,1352.0,101.35,2022,2.0,3047.03,Kota Malang,5.3,0.3135,11.9999999988,44,-0.17755739672816964
BLITAR,363566.5,72.39750000000001,8.705,5.315,2015071.18,1245.125,0.83,3.01,819.5,101.35,2022,2.0,7025.3,Kota Kediri,4.03,0.34125,447.7999999827769,29,0.418732931010218
BOJONEGORO,411536.25,71.3125,12.2025,4.675000000000001,2079568.07,1315.1,0.55,3.19,583.0,100.75,2022,2.0,15316.65,Kota Surabaya,4.89,0.28075,25.899217221084346,109,0.46623734607929723
BONDOWOSO,460820.0,70.07249999999999,13.4375,4.2775,1958640.12,784.5625,0.48,1.9,508.5,97.1,2022,2.0,3819.63,Kabupaten Jember,5.53,0.36124999999999996,8934.547825698499,33,0.8339778324214435
GRESIK,549487.0,77.825,11.035,7.585,4372030.51,1339.225,1.02,3.24,1092.0,101.4,2022,2.0,27189.86,Kota Surabaya,4.89,0.35475,884.9393204451218,351,-1.1955425072420411
JEMBER,411013.5,69.955,9.42,4.047499999999999,2355662.91,2573.15,0.71,6.24,803.0,99.35,2022,2.0,14516.92,Kabupaten Jember,5.53,0.31174999999999997,69.45739348365124,221,-0.18916483288731273
JOMBANG,458811.0,74.785,9.067499999999999,5.2675,2654095.88,1341.7749999999999,0.85,3.25,1203.5,101.65,2022,2.0,7479.8,Kota Surabaya,4.89,0.31725000000000003,170.9916546242157,99,-0.039238511364922686
KEDIRI,361243.25,74.32000000000001,10.6675,6.57,2043422.93,1664.9,0.83,4.03,1143.5,101.95,2022,2.0,7633.04,Kota Kediri,4.03,0.32325000000000004,6959.772340277452,74,0.12276094172599496
KOTA BLITAR,530092.25,80.3075,7.3525,5.3525,2039024.44,152.275,1.98,0.37,4618.0,98.8,2022,2.0,1290.09,Kota Kediri,4.03,0.385,7925.199992074799,54,0.09242483945273053
KOTA KEDIRI,549925.25,80.33250000000001,7.210000000000001,4.3,2118116.63,292.5,1.74,0.7,4466.5,100.4,2022,2.0,22218.58,Kota Kediri,4.03,0.37825,106.89489361679384,171,-0.2342259760059121
KOTA MADIUN,564997.75,83.1925,4.755,6.255,1991105.79,198.83749999999998,1.82,0.48,5670.5,95.8,2022,2.0,2730.7,Kota Madiun,4.76,0.4025,1272.769999872723,112,-0.19356502446230048
KOTA MALANG,625874.0,83.535,4.3425,7.445,2994143.98,857.65,1.36,2.08,6803.0,98.95,2022,2.0,13989.0,Kota Malang,5.3,0.419,482.0809278338091,185,-1.2709521137345032
KOTA MOJOKERTO,544104.5,80.3675,5.9275,4.97,2510452.36,135.04999999999998,1.82,0.33,6663.0,98.35,2022,2.0,1311.23,Kota Surabaya,4.89,0.374,1391.0181817549535,75,-0.1487900530702925
KOTA PASURUAN,497547.75,77.85749999999999,6.4275,6.045,2838837.64,213.8125,2.51,0.52,5743.0,100.05,2022,2.0,1560.09,Kota Malang,5.3,0.3645,317.13076920637457,176,-0.1955142441076879
KOTA PROBOLINGGO,588491.25,76.2925,6.6075,4.5600000000000005,2376240.63,244.825,1.97,0.59,4386.5,98.4,2022,2.0,2244.19,Kota Malang,5.3,0.32825,1207.849999913725,47,0.10217394801284853
LAMONGAN,455443.0,74.945,12.5025,5.9025,2488724.77,1364.4375,0.93,3.31,771.0,100.1,2022,2.0,7530.26,Kota Surabaya,4.89,0.2785,689.4869565210578,164,0.15571584836226954
LUMAJANG,361330.75,68.7025,9.0275,4.645,2000607.2,1134.6,0.79,2.75,631.5,97.8,2022,2.0,6075.55,Kabupaten Jember,5.53,0.3595,82.1626421223161,33,0.7108258199918199
MADIUN,413169.25,73.6375,10.8525,5.665,1958410.31,752.8499999999999,0.77,1.83,700.5,98.1,2022,2.0,3352.15,Kota Madiun,4.76,0.351,2418.1153845223803,37,0.6706166542246894
MAGETAN,405322.75,75.89500000000001,9.83,4.2875,1957329.43,678.85,0.62,1.65,972.0,96.8,2022,2.0,3419.49,Kota Madiun,4.76,0.35724999999999996,12.517647058774442,19,0.7374318350424429
MALANG,375596.0,72.4225,9.525,6.3525,3068275.36,2697.8624999999997,0.76,6.54,769.0,101.4,2022,2.0,17888.26,Kota Malang,5.3,0.3705,4183.536298924941,409,-0.7871771570289519
MOJOKERTO,455836.0,75.765,9.732500000000002,4.79,4354787.17,1138.0,0.8,2.75,1365.5,101.15,2022,2.0,15950.83,Kota Surabaya,4.89,0.32975,1376.7481111095815,192,-0.5272371991935767
NGANJUK,484213.0,74.1375,10.747499999999999,4.725,1970006.41,1119.075,0.69,2.71,889.0,101.15,2022,2.0,4898.04,Kota Kediri,4.03,0.30674999999999997,182.1055907171075,58,0.383866225153058
NGAWI,390212.5,72.785,14.2125,2.4625,1962585.99,877.925,0.47,2.13,652.5,98.45,2022,2.0,3285.44,Kota Madiun,4.76,0.307,72.26120943949249,36,1.0382643043516493
PACITAN,333970.0,70.3775,13.762500000000001,3.195,1961154.77,588.4124999999999,0.4,1.43,417.0,100.6,2022,2.0,2889.88,Kota Madiun,4.76,0.3415,40.22586558036614,32,1.1963481465093173
PAMEKASAN,402040.5,69.5925,13.91,1.4849999999999999,1939686.39,867.4375,0.82,2.1,1089.0,96.45,2022,2.0,3047.84,Kabupaten Sumenep,5.79,0.31575,4692.774998826806,42,1.1592278233622
PASURUAN,402918.0,71.44500000000001,9.030000000000001,5.8025,4365133.19,1632.2375000000002,0.67,3.95,1097.0,100.1,2022,2.0,28086.03,Kota Malang,5.3,0.3355,520.858785942381,59,-0.7199749291683425
PONOROGO,370613.0,72.73750000000001,9.3725,5.297499999999999,1954281.32,958.1125,0.66,2.33,704.0,99.6,2022,2.0,3746.59,Kota Madiun,4.76,0.33725000000000005,172.80499999855994,67,0.6664853801447536
PROBOLINGGO,485353.25,69.76,17.137500000000003,3.2475,2553265.95,1169.025,0.58,2.83,681.5,97.45,2022,2.0,6605.33,Kota Malang,5.3,0.28600000000000003,9995.907142500148,76,0.6634767754653684
SAMPANG,422424.75,65.6275,21.6475,3.0125,1922122.97,993.8125,1.08,2.41,805.0,98.8,2022,2.0,3613.86,Kabupaten Sumenep,5.79,0.2735,1382.3333328725555,14,1.2426067965205028
SIDOARJO,535333.75,81.4975,5.2700000000000005,8.6125,4368581.85,2127.4,0.86,5.14,3133.0,101.25,2022,2.0,37244.38,Kota Surabaya,4.89,0.3695,1134.45164790974,753,-2.062100994826671
SITUBONDO,366246.5,69.9825,11.809999999999999,3.3525,1942750.77,693.7375,0.52,1.68,416.5,96.5,2022,2.0,3641.77,Kabupaten Jember,5.53,0.305,183.77968749712844,52,1.2073909874275015
SUMENEP,438876.5,68.64999999999999,18.745,1.4475,1978927.22,1140.3,0.68,2.76,557.5,93.65,2022,2.0,6406.29,Kabupaten Sumenep,5.79,0.27125,8.641975308535283,34,1.2285973401901307
SURABAYA,668997.5,83.4875,4.7025,7.405,4375479.19,2899.7375,0.79,7.03,8442.0,98.2,2022,2.0,107655.22,Kota Surabaya,4.89,0.39675,772.8632063881114,2509,-3.828245980867248
TRENGGALEK,388967.75,71.45,10.877500000000001,5.1575,1944932.74,738.8375,0.59,1.79,617.0,100.8,2022,2.0,3340.32,Kota Kediri,4.03,0.33225000000000005,795.49999996818,21,0.800640779348118
TUBAN,429549.25,70.94250000000001,14.9925,4.505,2539224.88,1212.7875,0.59,2.94,636.5,99.7,2022,2.0,11598.67,Kota Surabaya,4.89,0.34325,1067.1487266535362,117,0.3819321877567574
TULUNGAGUNG,399884.75,74.2675,6.665,6.4,2029358.67,1103.6,0.71,2.67,1003.5,100.1,2022,2.0,7348.07,Kota Kediri,4.03,0.3385,5.908651911456924,99,0.2790985938228714
BANGKALAN,480980.5,66.465,19.395000000000003,7.115,1956773.48,1086.775,1.25,2.62,954.5,97.4,2022,3.0,4481.15,Kota Surabaya,6.91,0.3025,1527.247618974893,39,0.7116046529905429
BANYUWANGI,431903.5,73.47,7.425,5.005,2328899.12,1737.5500000000002,0.79,4.2,391.0,100.15,2022,3.0,14617.92,Kabupaten Banyuwangi,5.46,0.33999999999999997,4527.135238052122,175,-0.0911745482265673
BATU,588997.5,78.6,3.55,6.475,2830367.09,218.825,2.2,0.53,1352.0,101.35,2022,3.0,3104.76,Kota Malang,7.08,0.319,148.88219584525555,45,-0.1601226074323661
BLITAR,371622.0,72.545,8.7,5.18,2015071.18,1247.9499999999998,0.83,3.01,819.5,101.35,2022,3.0,6699.92,Kota Kediri,6.29,0.34750000000000003,90.71187904957807,55,0.39999627428298445
BOJONEGORO,419669.5,71.475,12.195,4.66,2079568.07,1316.6,0.55,3.19,583.0,100.75,2022,3.0,15122.55,Kota Surabaya,6.91,0.2815,423.7432727265023,122,0.447770180353663
BONDOWOSO,471880.0,70.235,13.405000000000001,4.235,1958640.12,785.7750000000001,0.48,1.9,508.5,97.1,2022,3.0,3639.68,Kabupaten Jember,7.3,0.3575,5930.787499629325,35,0.8189362367342699
GRESIK,562430.0,78.03,11.010000000000002,7.33,4372030.51,1342.95,1.02,3.24,1092.0,101.4,2022,3.0,27480.14,Kota Surabaya,6.91,0.34650000000000003,1515.7131948340789,368,-1.2005341808539436
JEMBER,421066.0,70.11,9.45,4.035,2355662.91,2577.7,0.71,6.24,803.0,99.35,2022,3.0,15288.05,Kabupaten Jember,7.3,0.3225,3159.8484471853426,226,-0.2408682315867321
JOMBANG,468792.0,74.91,9.094999999999999,5.0649999999999995,2654095.88,1344.9499999999998,0.85,3.25,1203.5,101.65,2022,3.0,7973.62,Kota Surabaya,6.91,0.3245,316.83862660921545,102,-0.06828707146393273
KEDIRI,369453.5,74.44,10.685,6.3100000000000005,2043422.93,1669.0,0.83,4.03,1143.5,101.95,2022,3.0,8117.89,Kota Kediri,6.29,0.3175,2512.2906249842986,75,0.12339086239976085
KOTA BLITAR,542821.5,80.465,7.335,5.3149999999999995,2039024.44,152.65,1.98,0.37,4618.0,98.8,2022,3.0,1296.74,Kota Kediri,6.29,0.389,467.0295081890652,35,0.05853176819020147
KOTA KEDIRI,562524.5,80.545,7.19,4.22,2118116.63,293.4,1.74,0.7,4466.5,100.4,2022,3.0,22160.17,Kota Kediri,6.29,0.3855,271.323999999397,177,-0.27181837813039506
KOTA MADIUN,578375.5,83.365,4.75,6.119999999999999,1991105.79,199.225,1.82,0.48,5670.5,95.8,2022,3.0,2772.0,Kota Madiun,6.14,0.40700000000000003,195.4525179842054,122,-0.22412255484315616
KOTA MALANG,642136.0,83.69,4.3149999999999995,7.23,2994143.98,860.2,1.36,2.08,6803.0,98.95,2022,3.0,14311.5,Kota Malang,7.08,0.417,531.7212355191825,438,-1.2945831979372588
KOTA MOJOKERTO,556405.0,80.545,5.875,4.890000000000001,2510452.36,135.39999999999998,1.82,0.33,6663.0,98.35,2022,3.0,1328.07,Kota Surabaya,6.91,0.367,65.73939393906193,195,-0.1612311728984008
KOTA PASURUAN,508202.5,78.005,6.484999999999999,5.91,2838837.64,214.675,2.51,0.52,5743.0,100.05,2022,3.0,1608.45,Kota Malang,7.08,0.369,20.465533980483176,182,-0.2191349001783541
KOTA PROBOLINGGO,601787.5,76.505,6.565,4.550000000000001,2376240.63,245.55,1.97,0.59,4386.5,98.4,2022,3.0,2287.68,Kota Malang,7.08,0.3345,348.06494464816217,50,0.05897921994779151
LAMONGAN,464285.0,75.06,12.475,5.755,2488724.77,1366.125,0.93,3.31,771.0,100.1,2022,3.0,7572.81,Kota Surabaya,6.91,0.28400000000000003,1371.2571428541746,174,0.1336739117129024
LUMAJANG,369885.5,68.92500000000001,8.995000000000001,4.32,2000607.2,1136.1,0.79,2.75,631.5,97.8,2022,3.0,6114.61,Kabupaten Jember,7.3,0.37,67.38932490853551,35,0.6885863433106191
MADIUN,421211.5,73.765,10.915,5.49,1958410.31,753.4,0.77,1.83,700.5,98.1,2022,3.0,3871.27,Kota Madiun,6.14,0.348,200.5730407521415,38,0.6625037698599
MAGETAN,413949.5,76.03,9.82,4.245,1957329.43,679.8,0.62,1.65,972.0,96.8,2022,3.0,3627.47,Kota Madiun,6.14,0.3625,2702.6749996621656,21,0.7076110621617839
MALANG,383613.0,72.61500000000001,9.5,6.135,3068275.36,2703.7749999999996,0.76,6.54,769.0,101.4,2022,3.0,18421.05,Kota Malang,7.08,0.373,625.5456360075829,192,-0.807183733147949
MOJOKERTO,466064.0,75.92,9.755,4.75,4354787.17,1140.5,0.8,2.75,1365.5,101.15,2022,3.0,16608.41,Kota Surabaya,6.91,0.3325,4238.795266259649,77,-0.5617551099355094
NGANJUK,493997.0,74.325,10.795,4.71,1970006.41,1120.95,0.69,2.71,889.0,101.15,2022,3.0,5044.96,Kota Kediri,6.29,0.3125,34.08089591563362,63,0.34949487653792227
NGAWI,398124.0,72.95,14.275,2.4450000000000003,1962585.99,878.85,0.47,2.13,652.5,98.45,2022,3.0,3713.94,Kota Madiun,6.14,0.314,626.2399999937376,36,1.0030353639942602
PACITAN,340182.0,70.565,13.725000000000001,2.74,1961154.77,588.275,0.4,1.43,417.0,100.6,2022,3.0,3034.02,Kota Madiun,6.14,0.345,244.3871794850907,31,1.1989001559601118
PAMEKASAN,411736.0,69.835,13.89,1.5699999999999998,1939686.39,870.2249999999999,0.82,2.1,1089.0,96.45,2022,3.0,2949.99,Kabupaten Sumenep,6.54,0.3265,2538.2074073134,46,1.1100187811070237
PASURUAN,411820.0,71.6,9.100000000000001,5.695,4365133.19,1636.325,0.67,3.95,1097.0,100.1,2022,3.0,28694.84,Kota Malang,7.08,0.346,601.2845642538399,65,-0.7602099424875352
PONOROGO,378765.0,72.885,9.425,5.085,1954281.32,958.575,0.66,2.33,704.0,99.6,2022,3.0,3990.37,Kota Madiun,6.14,0.3385,533.8299270034028,67,0.6557284416869863
PROBOLINGGO,494993.5,69.96000000000001,17.155,3.245,2553265.95,1171.65,0.58,2.83,681.5,97.45,2022,3.0,6310.01,Kota Malang,7.08,0.29700000000000004,5327.044680737722,79,0.6237897932210161
SAMPANG,433188.5,65.815,21.685000000000002,2.915,1922122.97,997.375,1.08,2.41,805.0,98.8,2022,3.0,3810.05,Kabupaten Sumenep,6.54,0.267,357.5777777380469,14,1.2318515145449327
SIDOARJO,547454.5,81.625,5.18,8.425,4368581.85,2134.5,0.86,5.14,3133.0,101.25,2022,3.0,38569.8,Kota Surabaya,6.91,0.366,994.1450885105886,820,-2.090938997276127
SITUBONDO,376360.0,70.20500000000001,11.84,3.325,1942750.77,694.825,0.52,1.68,416.5,96.5,2022,3.0,3739.83,Kabupaten Jember,7.3,0.312,250.0233333321428,52,1.1704444105521123
SUMENEP,449871.0,68.81,18.73,1.5350000000000001,1978927.22,1142.4,0.68,2.76,557.5,93.65,2022,3.0,6402.85,Kabupaten Sumenep,6.54,0.27649999999999997,833.907692294863,39,1.1877738733500938
SURABAYA,685455.0,83.655,4.6850000000000005,7.1899999999999995,4375479.19,2903.625,0.79,7.03,8442.0,98.2,2022,3.0,109914.17,Kota Surabaya,6.91,0.40549999999999997,786.1465427165356,2664,-3.8958449307447953
TRENGGALEK,396487.5,71.62,10.795000000000002,4.945,1944932.74,739.625,0.59,1.79,617.0,100.8,2022,3.0,3507.08,Kota Kediri,6.29,0.3335,544.749999945525,21,0.7886873768525149
TUBAN,437811.5,71.095,14.965,4.470000000000001,2539224.88,1214.725,0.59,2.94,636.5,99.7,2022,3.0,12074.94,Kota Surabaya,6.91,0.3415,4840.436363592359,133,0.3602535080844629
TULUNGAGUNG,407881.5,74.39500000000001,6.62,6.15,2029358.67,1105.0,0.71,2.67,1003.5,100.1,2022,3.0,7517.45,Kota Kediri,6.29,0.335,2279.5285711029246,105,0.2786653110366122
BANGKALAN,492093.75,66.6425,19.372500000000002,6.6475,1956773.48,1089.2875,1.25,2.62,954.5,97.4,2022,4.0,4149.34,Kota Surabaya,6.59,0.30074999999999996,1103.9615383766184,44,0.7207350045726038
BANYUWANGI,440415.75,73.63000000000001,7.3825,4.8774999999999995,2328899.12,1740.7250000000001,0.79,4.2,391.0,100.15,2022,4.0,15284.73,Kabupaten Banyuwangi,6.06,0.3455,3591.2456730596577,189,-0.12351057551020986
BATU,601491.25,78.835,3.43,5.4975,2830367.09,219.5125,2.2,0.53,1352.0,101.35,2022,4.0,3035.81,Kota Malang,6.45,0.3245,168.77175572390252,52,-0.1411028333409483
BLITAR,379677.5,72.6925,8.695,5.045,2015071.18,1250.7749999999999,0.83,3.01,819.5,101.35,2022,4.0,6720.19,Kota Kediri,5.76,0.35375,495.34429347691486,58,0.3769349412421699
BOJONEGORO,427802.75,71.6375,12.1875,4.645,2079568.07,1318.1,0.55,3.19,583.0,100.75,2022,4.0,15631.56,Kota Surabaya,6.59,0.28225,271.60983050755385,128,0.420505898607541
BONDOWOSO,482940.0,70.39750000000001,13.3725,4.192500000000001,1958640.12,786.9875000000001,0.48,1.9,508.5,97.1,2022,4.0,3543.2,Kabupaten Jember,7.39,0.35375,1964.3190475255085,36,0.8028502877236883
GRESIK,575373.0,78.235,10.985000000000001,7.075,4372030.51,1346.6750000000002,1.02,3.24,1092.0,101.4,2022,4.0,27301.37,Kota Surabaya,6.59,0.33825,1831.6274499827343,402,-1.199657231809002
JEMBER,431118.5,70.265,9.48,4.0225,2355662.91,2582.25,0.71,6.24,803.0,99.35,2022,4.0,14001.56,Kabupaten Jember,7.39,0.33325,833.0956521724642,237,-0.26682726320758543
JOMBANG,478773.0,75.035,9.1225,4.8625,2654095.88,1348.125,0.85,3.25,1203.5,101.65,2022,4.0,7365.05,Kota Surabaya,6.59,0.33175,438.823391812224,116,-0.08354283564378297
KEDIRI,377663.75,74.56,10.7025,6.05,2043422.93,1673.1,0.83,4.03,1143.5,101.95,2022,4.0,7821.61,Kota Kediri,5.76,0.31174999999999997,1178.6959139759597,82,0.13379406351607265
KOTA BLITAR,555550.75,80.6225,7.3175,5.2775,2039024.44,153.025,1.98,0.37,4618.0,98.8,2022,4.0,1346.82,Kota Kediri,5.76,0.393,42.831538461208986,37,0.024095312791876
KOTA KEDIRI,575123.75,80.7575,7.17,4.14,2118116.63,294.3,1.74,0.7,4466.5,100.4,2022,4.0,22790.81,Kota Kediri,5.76,0.39275000000000004,943.9542856873156,186,-0.3180319814956922
