nama_kabupaten_kota,kuartal,Jumlah Perusahaan,tahun
KABUPATEN LUMAJANG,3,72,2023
KABUPATEN LUMAJANG,4,73,2023
KABUPATEN LUMAJANG,1,77,2024
KABUPATEN LUMAJANG,2,77,2024
KABUPATEN LUMAJANG,3,86,2024
KABUPATEN LUMAJANG,4,132,2024
KABUPATEN MADIUN,1,381,2022
KABUPATEN MADIUN,2,438,2022
KABUPATEN MADIUN,3,552,2022
KABUPATEN MADIUN,4,846,2022
KABUPATEN MADIUN,1,984,2023
KABUPATEN MADIUN,2,1040,2023
KABUPATEN MADIUN,3,75,2023
KABUPATEN MADIUN,4,80,2023
KABUPATEN MADIUN,1,82,2024
KABUPATEN MADIUN,2,82,2024
KABUPATEN MADIUN,3,86,2024
KABUPATEN MADIUN,4,148,2024
KABUPATEN MAGETAN,1,321,2022
KABUPATEN MAGETAN,2,371,2022
KABUPATEN MAGETAN,3,420,2022
KABUPATEN MAGETAN,4,532,2022
KABUPATEN MAGETAN,1,607,2023
KABUPATEN MAGETAN,2,656,2023
KABUPATEN MAGETAN,3,37,2023
KABUPATEN MAGETAN,4,38,2023
KABUPATEN MAGETAN,1,40,2024
KABUPATEN MAGETAN,2,40,2024
KABUPATEN MAGETAN,3,41,2024
KABUPATEN MAGETAN,4,86,2024
KABUPATEN MALANG,1,1810,2022
KABUPATEN MALANG,2,2034,2022
KABUPATEN MALANG,3,2369,2022
KABUPATEN MALANG,4,2908,2022
KABUPATEN MALANG,1,3302,2023
KABUPATEN MALANG,2,3616,2023
KABUPATEN MALANG,3,394,2023
KABUPATEN MALANG,4,407,2023
KABUPATEN MALANG,1,742,2024
KABUPATEN MALANG,2,742,2024
KABUPATEN MALANG,3,468,2024
KABUPATEN MALANG,4,770,2024
KABUPATEN MOJOKERTO,1,1444,2022
KABUPATEN MOJOKERTO,2,1580,2022
KABUPATEN MOJOKERTO,3,1741,2022
KABUPATEN MOJOKERTO,4,2019,2022
KABUPATEN MOJOKERTO,1,2259,2023
KABUPATEN MOJOKERTO,2,2397,2023
KABUPATEN MOJOKERTO,3,442,2023
KABUPATEN MOJOKERTO,4,446,2023
KABUPATEN MOJOKERTO,1,449,2024
KABUPATEN MOJOKERTO,2,449,2024
KABUPATEN MOJOKERTO,3,473,2024
KABUPATEN MOJOKERTO,4,686,2024
KABUPATEN NGANJUK,1,479,2022
KABUPATEN NGANJUK,2,533,2022
KABUPATEN NGANJUK,3,605,2022
KABUPATEN NGANJUK,4,693,2022
KABUPATEN NGANJUK,1,794,2023
KABUPATEN NGANJUK,2,868,2023
KABUPATEN NGANJUK,3,106,2023
KABUPATEN NGANJUK,4,110,2023
KABUPATEN NGANJUK,1,116,2024
KABUPATEN NGANJUK,2,116,2024
KABUPATEN NGANJUK,3,126,2024
KABUPATEN NGANJUK,4,197,2024
KABUPATEN NGAWI,1,398,2022
KABUPATEN NGAWI,2,438,2022
KABUPATEN NGAWI,3,492,2022
KABUPATEN NGAWI,4,909,2022
KABUPATEN NGAWI,1,987,2023
KABUPATEN NGAWI,2,1085,2023
KABUPATEN NGAWI,3,63,2023
KABUPATEN NGAWI,4,64,2023
KABUPATEN NGAWI,1,66,2024
KABUPATEN NGAWI,2,66,2024
KABUPATEN NGAWI,3,75,2024
KABUPATEN NGAWI,4,139,2024
KABUPATEN PACITAN,1,272,2022
KABUPATEN PACITAN,2,313,2022
KABUPATEN PACITAN,3,343,2022
KABUPATEN PACITAN,4,451,2022
KABUPATEN PACITAN,1,574,2023
KABUPATEN PACITAN,2,650,2023
KABUPATEN PACITAN,3,41,2023
KABUPATEN PACITAN,4,43,2023
KABUPATEN PACITAN,1,48,2024
KABUPATEN PACITAN,2,48,2024
KABUPATEN PACITAN,3,51,2024
KABUPATEN PACITAN,4,99,2024
KABUPATEN PAMEKASAN,1,665,2022
KABUPATEN PAMEKASAN,2,739,2022
KABUPATEN PAMEKASAN,3,810,2022
KABUPATEN PAMEKASAN,4,936,2022
KABUPATEN PAMEKASAN,1,1012,2023
KABUPATEN PAMEKASAN,2,1053,2023
KABUPATEN PAMEKASAN,3,94,2023
KABUPATEN PAMEKASAN,4,95,2023
KABUPATEN PAMEKASAN,1,99,2024
KABUPATEN PAMEKASAN,2,99,2024
KABUPATEN PAMEKASAN,3,105,2024
KABUPATEN PAMEKASAN,4,174,2024
KABUPATEN PASURUAN,1,1400,2022
KABUPATEN PASURUAN,2,1578,2022
KABUPATEN PASURUAN,3,1843,2022
KABUPATEN PASURUAN,4,2149,2022
KABUPATEN PASURUAN,1,2413,2023
KABUPATEN PASURUAN,2,2597,2023
KABUPATEN PASURUAN,3,604,2023
KABUPATEN PASURUAN,4,610,2023
KABUPATEN PASURUAN,1,617,2024
KABUPATEN PASURUAN,2,617,2024
KABUPATEN PASURUAN,3,673,2024
KABUPATEN PASURUAN,4,966,2024
KABUPATEN PONOROGO,1,430,2022
KABUPATEN PONOROGO,2,490,2022
KABUPATEN PONOROGO,3,553,2022
KABUPATEN PONOROGO,4,702,2022
KABUPATEN PONOROGO,1,792,2023
KABUPATEN PONOROGO,2,887,2023
KABUPATEN PONOROGO,3,88,2023
KABUPATEN PONOROGO,4,90,2023
KABUPATEN PONOROGO,1,92,2024
KABUPATEN PONOROGO,2,92,2024
KABUPATEN PONOROGO,3,106,2024
KABUPATEN PONOROGO,4,224,2024
KABUPATEN PROBOLINGGO,1,383,2022
KABUPATEN PROBOLINGGO,2,439,2022
KABUPATEN PROBOLINGGO,3,522,2022
KABUPATEN PROBOLINGGO,4,687,2022
KABUPATEN PROBOLINGGO,1,793,2023
KABUPATEN PROBOLINGGO,2,880,2023
KABUPATEN PROBOLINGGO,3,121,2023
KABUPATEN PROBOLINGGO,4,125,2023
KABUPATEN PROBOLINGGO,1,128,2024
KABUPATEN PROBOLINGGO,2,128,2024
KABUPATEN PROBOLINGGO,3,134,2024
KABUPATEN PROBOLINGGO,4,196,2024
KABUPATEN SAMPANG,1,234,2022
KABUPATEN SAMPANG,2,259,2022
KABUPATEN SAMPANG,3,296,2022
KABUPATEN SAMPANG,4,362,2022
KABUPATEN SAMPANG,1,404,2023
KABUPATEN SAMPANG,2,437,2023
KABUPATEN SAMPANG,3,16,2023
KABUPATEN SAMPANG,4,17,2023
KABUPATEN SAMPANG,1,18,2024
KABUPATEN SAMPANG,2,18,2024
KABUPATEN SAMPANG,3,18,2024
KABUPATEN SAMPANG,4,41,2024
KABUPATEN SIDOARJO,1,5967,2022
KABUPATEN SIDOARJO,2,6476,2022
KABUPATEN SIDOARJO,3,7372,2022
KABUPATEN SIDOARJO,4,8687,2022
KABUPATEN SIDOARJO,1,9654,2023
KABUPATEN SIDOARJO,2,10415,2023
KABUPATEN SIDOARJO,3,1652,2023
KABUPATEN SIDOARJO,4,1685,2023
KABUPATEN SIDOARJO,1,1707,2024
KABUPATEN SIDOARJO,2,1707,2024
KABUPATEN SIDOARJO,3,1858,2024
KABUPATEN SIDOARJO,4,2773,2024
KABUPATEN SITUBONDO,1,493,2022
KABUPATEN SITUBONDO,2,537,2022
KABUPATEN SITUBONDO,3,596,2022
KABUPATEN SITUBONDO,4,679,2022
KABUPATEN SITUBONDO,1,726,2023
KABUPATEN SITUBONDO,2,776,2023
KABUPATEN SITUBONDO,3,103,2023
KABUPATEN SITUBONDO,4,106,2023
KABUPATEN SITUBONDO,1,109,2024
KABUPATEN SITUBONDO,2,109,2024
KABUPATEN SITUBONDO,3,118,2024
KABUPATEN SITUBONDO,4,148,2024
KABUPATEN SUMENEP,1,646,2022
KABUPATEN SUMENEP,2,754,2022
KABUPATEN SUMENEP,3,856,2022
KABUPATEN SUMENEP,4,991,2022
KABUPATEN SUMENEP,1,1092,2023
KABUPATEN SUMENEP,2,1154,2023
KABUPATEN SUMENEP,3,44,2023
KABUPATEN SUMENEP,4,46,2023
KABUPATEN SUMENEP,1,48,2024
KABUPATEN SUMENEP,2,48,2024
KABUPATEN SUMENEP,3,51,2024
KABUPATEN SUMENEP,4,112,2024
KABUPATEN TRENGGALEK,1,303,2022
KABUPATEN TRENGGALEK,2,347,2022
KABUPATEN TRENGGALEK,3,416,2022
KABUPATEN TRENGGALEK,4,493,2022
KABUPATEN TRENGGALEK,1,558,2023
KABUPATEN TRENGGALEK,2,611,2023
KABUPATEN TRENGGALEK,3,34,2023
KABUPATEN TRENGGALEK,4,38,2023
KABUPATEN TRENGGALEK,1,39,2024
KABUPATEN TRENGGALEK,2,39,2024
KABUPATEN TRENGGALEK,3,44,2024
KABUPATEN TRENGGALEK,4,99,2024
KABUPATEN TUBAN,1,791,2022
KABUPATEN TUBAN,2,891,2022
KABUPATEN TUBAN,3,1004,2022
KABUPATEN TUBAN,4,1156,2022
KABUPATEN TUBAN,1,1328,2023
KABUPATEN TUBAN,2,1430,2023
KABUPATEN TUBAN,3,206,2023
KABUPATEN TUBAN,4,208,2023
KABUPATEN TUBAN,1,210,2024
KABUPATEN TUBAN,2,210,2024
KABUPATEN TUBAN,3,222,2024
KABUPATEN TUBAN,4,357,2024
KABUPATEN TULUNGAGUNG,1,831,2022
KABUPATEN TULUNGAGUNG,2,935,2022
KABUPATEN TULUNGAGUNG,3,1063,2022
KABUPATEN TULUNGAGUNG,4,1273,2022
KABUPATEN TULUNGAGUNG,1,1405,2023
KABUPATEN TULUNGAGUNG,2,1522,2023
KABUPATEN TULUNGAGUNG,3,188,2023
KABUPATEN TULUNGAGUNG,4,172,2023
KABUPATEN TULUNGAGUNG,1,198,2024
KABUPATEN TULUNGAGUNG,2,198,2024
KABUPATEN TULUNGAGUNG,3,208,2024
KABUPATEN TULUNGAGUNG,4,345,2024
KOTA BATU,1,352,2022
KOTA BATU,2,405,2022
KOTA BATU,3,449,2022
KOTA BATU,4,543,2022
KOTA BATU,1,615,2023
KOTA BATU,2,677,2023
KOTA BATU,3,92,2023
KOTA BATU,4,88,2023
KOTA BATU,1,95,2024
KOTA BATU,2,95,2024
KOTA BATU,3,100,2024
KOTA BATU,4,140,2024
KOTA BLITAR,1,279,2022
KOTA BLITAR,2,303,2022
KOTA BLITAR,3,343,2022
KOTA BLITAR,4,415,2022
KOTA BLITAR,1,463,2023
KOTA BLITAR,2,491,2023
KOTA BLITAR,3,90,2023
KOTA BLITAR,4,92,2023
KOTA BLITAR,1,95,2024
KOTA BLITAR,2,95,2024
KOTA BLITAR,3,103,2024
KOTA BLITAR,4,160,2024
KOTA KEDIRI,1,794,2022
KOTA KEDIRI,2,851,2022
KOTA KEDIRI,3,949,2022
KOTA KEDIRI,4,1112,2022
KOTA KEDIRI,1,1228,2023
KOTA KEDIRI,2,1335,2023
KOTA KEDIRI,3,258,2023
KOTA KEDIRI,4,262,2023
KOTA KEDIRI,1,268,2024
KOTA KEDIRI,2,268,2024
KOTA KEDIRI,3,285,2024
KOTA KEDIRI,4,438,2024
KOTA MADIUN,1,573,2022
KOTA MADIUN,2,620,2022
KOTA MADIUN,3,705,2022
KOTA MADIUN,4,801,2022
KOTA MADIUN,1,871,2023
KOTA MADIUN,2,936,2023
KOTA MADIUN,3,200,2023
KOTA MADIUN,4,203,2023
KOTA MADIUN,1,205,2024
KOTA MADIUN,2,205,2024
KOTA MADIUN,3,211,2024
KOTA MADIUN,4,269,2024
KOTA MALANG,1,2182,2022
KOTA MALANG,2,2423,2022
KOTA MALANG,3,2841,2022
KOTA MALANG,4,3495,2022
KOTA MALANG,1,3979,2023
KOTA MALANG,2,4342,2023
KOTA MALANG,3,718,2023
KOTA MALANG,4,733,2023
KOTA MALANG,1,742,2024
KOTA MALANG,2,742,2024
KOTA MALANG,3,806,2024
KOTA MALANG,4,1168,2024
KOTA MOJOKERTO,1,415,2022
KOTA MOJOKERTO,2,454,2022
KOTA MOJOKERTO,3,495,2022
KOTA MOJOKERTO,4,577,2022
KOTA MOJOKERTO,1,622,2023
KOTA MOJOKERTO,2,402,2023
KOTA MOJOKERTO,3,74,2023
KOTA MOJOKERTO,4,77,2023
KOTA MOJOKERTO,1,80,2024
KOTA MOJOKERTO,2,80,2024
KOTA MOJOKERTO,3,93,2024
KOTA MOJOKERTO,4,133,2024
KOTA PASURUAN,1,419,2022
KOTA PASURUAN,2,452,2022
KOTA PASURUAN,3,526,2022
KOTA PASURUAN,4,593,2022
KOTA PASURUAN,1,652,2023
KOTA PASURUAN,2,694,2023
KOTA PASURUAN,3,131,2023
KOTA PASURUAN,4,131,2023
KOTA PASURUAN,1,131,2024
KOTA PASURUAN,2,131,2024
KOTA PASURUAN,3,141,2024
KOTA PASURUAN,4,214,2024
KOTA PROBOLINGGO,1,505,2022
KOTA PROBOLINGGO,2,549,2022
KOTA PROBOLINGGO,3,595,2022
KOTA PROBOLINGGO,4,667,2022
KOTA PROBOLINGGO,1,737,2023
KOTA PROBOLINGGO,2,776,2023
KOTA PROBOLINGGO,3,133,2023
KOTA PROBOLINGGO,4,134,2023
KOTA PROBOLINGGO,1,134,2024
KOTA PROBOLINGGO,2,134,2024
KOTA PROBOLINGGO,3,147,2024
KOTA PROBOLINGGO,4,120,2024
KOTA SURABAYA,1,16630,2022
