Kabupaten/Kota,Upah Minimum
Kabupaten Pacitan,1961154.77
Kabupaten Ponorogo,1954281.32
Kabupaten Trenggalek,1944932.74
Kabupaten Tulungagung,2029358.67
Kabupaten Blitar,2015071.18
Kabupaten Kediri,2043422.93
Kabupaten Malang,3068275.36
Kabupaten Lumajang,2000607.2
Kabupaten Jember,2355662.91
Kabupaten Banyuwangi,2328899.12
Kabupaten Bondowoso,1958640.12
Kabupaten Situbondo,1942750.77
Kabupaten Probolinggo,2553265.95
Kabupaten Pasuruan,4365133.19
Kabupaten Sidoarjo,4368581.85
Kabupaten Mojokerto,4354787.17
Kabupaten Jombang,2654095.88
Kabupaten Nganjuk,1970006.41
Kabupaten Madiun,1958410.31
Kabupaten Magetan,1957329.43
Kabupaten Ngawi,1962585.99
Kabupaten Bojonegoro,2079568.07
Kabupaten Tuban,2539224.88
Kabupaten Lamongan,2488724.77
Kabupaten Gresik,4372030.51
Kabupaten Bangkalan,1956773.48
Kabupaten Sampang,1922122.97
Kabupaten Pamekasan,1939686.39
Kabupaten Sumenep,1978927.22
Kota Kediri,2118116.63
Kota Blitar,2039024.44
Kota Malang,2994143.98
Kota Probolinggo,2376240.63
Kota Pasuruan,2838837.64
Kota Mojokerto,2510452.36
Kota Madiun,1991105.79
Kota Surabaya,4375479.19
Kota Batu,2830367.09
Jawa Timur,1891567.0
