Kabupaten/Kota Se Jawa Timur;Tingkat Pengangguran Terbuka
Kabupaten Pacitan;3.65
Kabupaten Ponorogo;5.51
Kabupaten Trenggalek;5.37
Kabupaten Tulungagung;6.65
Kabupaten Blitar;5.45
Kabupaten Kediri;6.83
Kabupaten Malang;6.57
Kabupaten Lumajang;4.97
Kabupaten Jember;4.06
Kabupaten Banyuwangi;5.26
Kabupaten Bondowoso;4.32
Kabupaten Situbondo;3.38
Kabupaten Probolinggo;3.25
Kabupaten Pasuruan;5.91
Kabupaten Sidoarjo;8.8
Kabupaten Mojokerto;4.83
Kabupaten Jombang;5.47
Kabupaten Nganjuk;4.74
Kabupaten Madiun;5.84
Kabupaten Magetan;4.33
Kabupaten Ngawi;2.48
Kabupaten Bojonegoro;4.69
Kabupaten Tuban;4.54
Kabupaten Lamongan;6.05
Kabupaten Gresik;7.84
Kabupaten Bangkalan;8.05
Kabupaten Sampang;3.11
Kabupaten Pamekasan;1.4
Kabupaten Sumenep;1.36
Kota Kediri;4.38
Kota Blitar;5.39
Kota Malang;7.66
Kota Probolinggo;4.57
Kota Pasuruan;6.18
Kota Mojokerto;5.05
Kota Madiun;6.39
Kota Surabaya;7.62
Kota Batu;8.43
