Kabupaten/Kota Se Jawa Timur,
,Gini Rasio Menurut Kabupaten/Kota di Jawa Timur
,2022
Kabupaten Pacitan,0.338
Kabupaten Ponorogo,0.336
Kabupaten Trenggalek,0.331
Kabupaten Tulungagung,0.342
Kabupaten Blitar,0.335
Kabupaten Kediri,0.329
Kabupaten Malang,0.368
Kabupaten Lumajang,0.349
Kabupaten Jember,0.301
Kabupaten Banyuwangi,0.329
Kabupaten Bondowoso,0.365
Kabupaten Situbondo,0.298
Kabupaten Probolinggo,0.275
Kabupaten Pasuruan,0.325
Kabupaten Sidoarjo,0.373
Kabupaten Mojokerto,0.327
Kabupaten Jombang,0.31
Kabupaten Nganjuk,0.301
Kabupaten Madiun,0.354
Kabupaten Magetan,0.352
Kabupaten Ngawi,0.3
Kabupaten Bojonegoro,0.28
Kabupaten Tuban,0.345
Kabupaten Lamongan,0.273
Kabupaten Gresik,0.363
Kabupaten Bangkalan,0.306
Kabupaten Sampang,0.28
Kabupaten Pamekasan,0.305
Kabupaten Sumenep,0.266
Kota Kediri,0.371
Kota Blitar,0.381
Kota Malang,0.421
Kota Probolinggo,0.322
Kota Pasuruan,0.36
Kota Mojokerto,0.381
Kota Madiun,0.398
Kota Surabaya,0.388
Kota Batu,0.308
Jawa Timur,0.371
