nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,JUMLAH TENAGA KERJA,2022,5900
KABUPATEN BANYUWANGI,JUMLAH TENAGA KERJA,2022,64572
KABUPATEN BOJONEGORO,JUMLAH TENAGA KERJA,2022,62523
KABUPATEN BONDOWOSO,JUMLAH TENAGA KERJA,2022,5997
KABUPATEN GRESIK,JUMLAH TENAGA KERJA,2022,340102
KABUPATEN JEMBER,JUMLAH TENAGA KERJA,2022,84939
KABUPATEN JOMBANG,JUMLAH TENAGA KERJA,2022,138350
KABUPATEN LAMONGAN,JUMLAH TENAGA KERJA,2022,103063
KABUPATEN LUMAJANG,JUMLAH TENAGA KERJA,2022,37782
KABUPATEN MAGETAN,JUMLAH TENAGA KERJA,2022,14324
KABUPATEN NGANJUK,JUMLAH TENAGA KERJA,2022,39736
KABUPATEN NGAWI,JUMLAH TENAGA KERJA,2022,32682
KABUPATEN PACITAN,JUMLAH TENAGA KERJA,2022,10727
KABUPATEN PAMEKASAN,JUMLAH TENAGA KERJA,2022,8841
KABUPATEN PONOROGO,JUMLAH TENAGA KERJA,2022,11094
KABUPATEN SAMPANG,JUMLAH TENAGA KERJA,2022,1676
KABUPATEN SIDOARJO,JUMLAH TENAGA KERJA,2022,696237
KABUPATEN SITUBONDO,JUMLAH TENAGA KERJA,2022,25273
KABUPATEN SUMENEP,JUMLAH TENAGA KERJA,2022,7726
KABUPATEN TRENGGALEK,JUMLAH TENAGA KERJA,2022,3355
KABUPATEN TUBAN,JUMLAH TENAGA KERJA,2022,72735
KABUPATEN TULUNGAGUNG,JUMLAH TENAGA KERJA,2022,32378
KOTA BATU,JUMLAH TENAGA KERJA,2022,14311
KOTA BLITAR,JUMLAH TENAGA KERJA,2022,26179
KOTA KEDIRI,JUMLAH TENAGA KERJA,2022,92792
KOTA MADIUN,JUMLAH TENAGA KERJA,2022,70805
KOTA MALANG,JUMLAH TENAGA KERJA,2022,328236
KOTA MOJOKERTO,JUMLAH TENAGA KERJA,2022,222998
KOTA PASURUAN,JUMLAH TENAGA KERJA,2022,359719
KOTA PROBOLINGGO,JUMLAH TENAGA KERJA,2022,122996
KOTA SURABAYA,JUMLAH TENAGA KERJA,2022,1103706
