Kabupaten/Kota,Persentase Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Persentase Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan
Kabupaten Pacitan,56.14,43.86
Kabupaten Ponorogo,51.05,48.95
Kabupaten Trenggalek,53.47,46.53
Kabupaten Tulungagung,55.86,44.14
Kabupaten Blitar,50.68,49.32
Kabupaten Kediri,53.75,46.25
Kabupaten Malang,50.72,49.28
Kabupaten Lumajang,56.66,43.34
Kabupaten Jember,58.05,41.95
Kabupaten Banyuwangi,51.9,48.1
Kabupaten Bondowoso,52.5,47.5
Kabupaten Situbondo,57.7,42.3
Kabupaten Probolinggo,60.06,39.94
Kabupaten Pasuruan,56.99,43.01
Kabupaten Sidoarjo,44.73,55.27
Kabupaten Mojokerto,53.29,46.71
Kabupaten Jombang,55.94,44.06
Kabupaten Nganjuk,54.42,45.58
Kabupaten Madiun,51.35,48.65
Kabupaten Magetan,52.52,47.48
Kabupaten Ngawi,53.84,46.16
Kabupaten Bojonegoro,56.27,43.73
Kabupaten Tuban,53.15,46.85
Kabupaten Lamongan,55.94,44.06
Kabupaten Gresik,50.27,49.73
Kabupaten Bangkalan,64.77,35.23
Kabupaten Sampang,60.67,39.33
Kabupaten Pamekasan,60.16,39.84
Kabupaten Sumenep,65.38,34.62
Kota Kediri,45.51,54.49
Kota Blitar,42.74,57.26
Kota Malang,38.07,61.93
Kota Probolinggo,40.97,59.03
Kota Pasuruan,48.47,51.53
Kota Mojokerto,44.12,55.88
Kota Madiun,43.49,56.51
Kota Surabaya,41.6,58.4
Kota Batu,47.22,52.78
Jawa Timur,51.57,48.43
,,
,,
 ,,
