nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,PERUSAHAAN BESAR,2022,1633
KABUPATEN BANYUWANGI,PERUSAHAAN BESAR,2022,5895
KABUPATEN BOJONEGORO,PERUSAHAAN BESAR,2022,3470
KABUPATEN BONDOWOSO,PERUSAHAAN BESAR,2022,2080
KABUPATEN GRESIK,PERUSAHAAN BESAR,2022,10540
KABUPATEN JEMBER,PERUSAHAAN BESAR,2022,5505
KABUPATEN JOMBANG,PERUSAHAAN BESAR,2022,4605
KABUPATEN LAMONGAN,PERUSAHAAN BESAR,2022,2782
KABUPATEN LUMAJANG,PERUSAHAAN BESAR,2022,2118
KABUPATEN MAGETAN,PERUSAHAAN BESAR,2022,1522
KABUPATEN NGANJUK,PERUSAHAAN BESAR,2022,1970
KABUPATEN NGAWI,PERUSAHAAN BESAR,2022,2027
KABUPATEN PACITAN,PERUSAHAAN BESAR,2022,1200
KABUPATEN PAMEKASAN,PERUSAHAAN BESAR,2022,2865
KABUPATEN PONOROGO,PERUSAHAAN BESAR,2022,1826
KABUPATEN SAMPANG,PERUSAHAAN BESAR,2022,1087
KABUPATEN SIDOARJO,PERUSAHAAN BESAR,2022,23607
KABUPATEN SITUBONDO,PERUSAHAAN BESAR,2022,1972
KABUPATEN SUMENEP,PERUSAHAAN BESAR,2022,3066
KABUPATEN TRENGGALEK,PERUSAHAAN BESAR,2022,1426
KABUPATEN TUBAN,PERUSAHAAN BESAR,2022,3086
KABUPATEN TULUNGAGUNG,PERUSAHAAN BESAR,2022,3476
KOTA BATU,PERUSAHAAN BESAR,2022,1463
KOTA BLITAR,PERUSAHAAN BESAR,2022,5473
KOTA KEDIRI,PERUSAHAAN BESAR,2022,6867
KOTA MADIUN,PERUSAHAAN BESAR,2022,3936
KOTA MALANG,PERUSAHAAN BESAR,2022,16539
KOTA MOJOKERTO,PERUSAHAAN BESAR,2022,7019
KOTA PASURUAN,PERUSAHAAN BESAR,2022,7158
KOTA PROBOLINGGO,PERUSAHAAN BESAR,2022,3558
KOTA SURABAYA,PERUSAHAAN BESAR,2022,63327
