nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,JUMLAH PERUSAHAAN,2022,1847
KABUPATEN BANYUWANGI,JUMLAH PERUSAHAAN,2022,6889
KABUPATEN BOJONEGORO,JUMLAH PERUSAHAAN,2022,4102
KABUPATEN BONDOWOSO,JUMLAH PERUSAHAAN,2022,2238
KABUPATEN GRESIK,JUMLAH PERUSAHAAN,2022,13176
KABUPATEN JEMBER,JUMLAH PERUSAHAAN,2022,6819
KABUPATEN JOMBANG,JUMLAH PERUSAHAAN,2022,5230
KABUPATEN LAMONGAN,JUMLAH PERUSAHAAN,2022,3680
KABUPATEN LUMAJANG,JUMLAH PERUSAHAAN,2022,2314
KABUPATEN MAGETAN,JUMLAH PERUSAHAAN,2022,1644
KABUPATEN NGANJUK,JUMLAH PERUSAHAAN,2022,2310
KABUPATEN NGAWI,JUMLAH PERUSAHAAN,2022,2237
KABUPATEN PACITAN,JUMLAH PERUSAHAAN,2022,1379
KABUPATEN PAMEKASAN,JUMLAH PERUSAHAAN,2022,3150
KABUPATEN PONOROGO,JUMLAH PERUSAHAAN,2022,2175
KABUPATEN SAMPANG,JUMLAH PERUSAHAAN,2022,1151
KABUPATEN SIDOARJO,JUMLAH PERUSAHAAN,2022,28502
KABUPATEN SITUBONDO,JUMLAH PERUSAHAAN,2022,2305
KABUPATEN SUMENEP,JUMLAH PERUSAHAAN,2022,3247
KABUPATEN TRENGGALEK,JUMLAH PERUSAHAAN,2022,1559
KABUPATEN TUBAN,JUMLAH PERUSAHAAN,2022,3842
KABUPATEN TULUNGAGUNG,JUMLAH PERUSAHAAN,2022,4102
KOTA BATU,JUMLAH PERUSAHAAN,2022,1749
KOTA BLITAR,JUMLAH PERUSAHAAN,2022,5968
KOTA KEDIRI,JUMLAH PERUSAHAAN,2022,8321
KOTA MADIUN,JUMLAH PERUSAHAAN,2022,4916
KOTA MALANG,JUMLAH PERUSAHAAN,2022,20062
KOTA MOJOKERTO,JUMLAH PERUSAHAAN,2022,8725
KOTA PASURUAN,JUMLAH PERUSAHAAN,2022,8960
KOTA PROBOLINGGO,JUMLAH PERUSAHAAN,2022,4347
KOTA SURABAYA,JUMLAH PERUSAHAAN,2022,78179
