Kabupaten/Kota,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Kabupaten Pacitan,4355.73,4396.76,4673.53,4560.45,17986.47
Kabupaten Ponorogo,5416.52,5657.78,6155.25,5798.69,23028.25
Kabupaten Trenggalek,4826.06,5117.17,5442.56,5496.52,20882.31
Kabupaten Tulungagung,10349.93,11216.52,11602.13,10964.9,44133.48
Kabupaten Blitar,9934.37,10692.96,10311.96,10440.01,41379.31
Kabupaten Kediri,10697.48,11489.97,12455.33,12007.26,46650.03
Kabupaten Malang,27844.91,28677.03,30249.95,30650.14,117422.03
Kabupaten Lumajang,8501.07,9359.17,9572.27,9231.21,36663.73
Kabupaten Jember,20245.88,22235.61,23680.52,21868.43,88030.45
Kabupaten Banyuwangi,21355.33,23318.16,23650.26,24955.19,93278.95
Kabupaten Bondowoso,5358,6043.14,5780.71,5720.01,22901.86
Kabupaten Situbondo,5452.68,5843.44,6093.14,5739.38,23128.64
Kabupaten Probolinggo,8963.77,10350.23,9991.6,9627.19,38932.78
Kabupaten Pasuruan,40943.16,42516.58,44082.75,45111.68,172654.17
Kabupaten Sidoarjo,56865.25,60096.77,63332.33,64933.11,245227.46
Kabupaten Mojokerto,22698.07,23988.93,25110.65,24000.46,95798.11
Kabupaten Jombang,10916.19,11358.43,12271.74,11389.32,45935.67
Kabupaten Nganjuk,7564.05,7706.74,8028.97,7519.99,30819.75
Kabupaten Madiun,5049.81,5126.69,6009.2,5673.68,21859.38
Kabupaten Magetan,5130.12,5171.88,5543.43,5349.3,21194.74
Kabupaten Ngawi,5421.06,5042.07,5851.19,6140.63,22454.95
Kabupaten Bojonegoro,25023.74,26499.37,24927.83,24041.96,100492.89
Kabupaten Tuban,18529.98,18244.94,19040.05,19372.69,75187.65
Kabupaten Lamongan,11442.93,11564.03,11782.49,10651.6,45441.05
Kabupaten Gresik,39469.34,41012.7,41778.77,41647.11,163907.91
Kabupaten Bangkalan,6442.33,6702.48,7351.15,6668.24,27164.2
Kabupaten Sampang,5766.22,5785.77,6290.42,5166.9,23009.31
Kabupaten Pamekasan,4920.43,4878.12,4741.15,4723.65,19263.35
Kabupaten Sumenep,9741.12,10394.64,10536.18,9583.38,40255.32
Kota Kediri,38019.03,37686.83,37873.97,39198.48,152778.31
Kota Blitar,1846.23,1944.24,1974.66,2068.81,7833.94
Kota Malang,20341.28,20857.93,21536.24,22071.98,84807.43
Kota Probolinggo,3049.54,3246.73,3365.43,3269.68,12931.38
Kota Pasuruan,2253.09,2318.13,2448.35,2433.26,9452.82
Kota Mojokerto,1816.86,1901.64,1945.53,1973,7637.02
Kota Madiun,3798.8,3869.46,3973.73,4176.62,15818.61
Kota Surabaya,156956.87,161718.64,166943.32,169997.39,655616.22
Kota Batu,4474.35,4629.97,4782.53,4700.75,18587.6
