Wilayah Desa/Kota,,
,Tingkat Pengangguran Terbuka (TPT) Menurut Wilayah Klasifikasi Wilayah (Persen),
,2022,
,Februari,Agustus
Perkotaan,6.69,7.76
Perdesaan,2.71,2.78
Perkotaan & Perdesaan,4.81,5.49
