Lapangan Usaha 17 Kategori,,,,,,,,,,
,[Seri 2010] PDRB Menurut Lapangan Usaha (17 Sektor) Triwulanan (Miliar Rupiah),,,,,,,,,
,Harga Berlaku,,,,,Harga Konstan 2010,,,,
,2024,,,,,2024,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A Pertanian, Kehutanan dan Perikanan",74443.18,93971.7,96764.8,72480.82,337660.51,39054.7,49910.91,51119.86,37704.33,177789.8
B Pertambangan dan Penggalian,27284.58,28468.11,28400.95,29158.6,113312.24,17591.44,18018.12,18272.55,18706.45,72588.57
C Industri Pengolahan,240885.94,238829.03,246788.23,251059.23,977562.43,145977.95,144392.55,148433.01,149785.75,588589.26
D Pengadaan Listrik dan Gas,2698.42,2710.65,2929.85,2855.48,11194.4,1626.8,1624.73,1758.55,1717.67,6727.74
"E Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",658.12,660.42,648.98,659.44,2626.96,478.49,479.16,467.05,473.87,1898.56
F Konstruksi,68068.96,68481.68,71772.89,75786.77,284110.3,43854.89,43899,45868.86,48344.88,181967.62
G Perdagangan Besar dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,145193.92,147055.98,150862.79,152987.15,596099.83,90491.91,90781.33,93158.77,94451.67,368883.68
H Transportasi dan Pergudangan,31535.32,32984.19,33290.36,34447.33,132257.19,16059.62,16344.06,16546.23,17094.2,66044.11
I Penyediaan Akomodasi dan Makan Minum,46721.28,47513.66,46236.11,49245.65,189716.7,27011.87,27228.04,26451.86,28141.67,108833.45
J Informasi dan Komunikasi,38408.64,39140.26,38794.62,40023.77,156367.28,33326.89,33828,33522.63,34466.22,135143.73
K Jasa Keuangan dan Asuransi,20145.64,20298.55,20506.34,20028.73,80979.25,11645.1,11646.79,11734.07,11457.89,46483.85
L Real Estat,11899.86,12045.84,12136.16,12196.42,48278.29,8264.44,8333.28,8392.97,8423.7,33414.39
"M,N Jasa Perusahaan",6230.34,6603.41,6571.94,6781.18,26186.87,3663.46,3854.85,3843.41,3954.51,15316.23
"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",15647.33,17917.48,16792.08,17847.01,68203.9,8806.45,9905.41,9252.14,9816.99,37780.98
P Jasa Pendidikan,18865.57,19341.77,19463.22,19467.28,77137.84,12600.36,12848.4,12882.62,12852.9,51184.27
Q Jasa Kesehatan dan Kegiatan Sosial,5033.66,5390.7,5473.63,5563.36,21461.36,3396.41,3614.9,3668.8,3718.92,14399.03
"R,S,T,U Jasa Lainnya",10578.22,11610.69,11093.65,11857.66,45140.22,6782.39,7405.43,7054.52,7522.54,28764.88
Produk Domestik Regional Bruto,764298.99,793024.12,808526.59,802445.89,3168295.58,470633.16,484114.96,492427.89,488634.15,1935810.15
