id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,modal_usaha__triliun_rp_,periode_update,satuan,tahun
28,2828,35,JAWA TIMUR,3523,KABUPATEN TUBAN,"0,08",2023-Q1,TRILIUN RUPIAH,2023
29,2929,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,"0,07",2023-Q1,TRILIUN RUPIAH,2023
30,3030,35,JAWA TIMUR,3579,KOTA BATU,"0,04",2023-Q1,TRILIUN RUPIAH,2023
31,3131,35,JAWA TIMUR,3572,KOTA BLITAR,"0,06",2023-Q1,TRILIUN RUPIAH,2023
32,3232,35,JAWA TIMUR,3571,KOTA KEDIRI,"0,07",2023-Q1,TRILIUN RUPIAH,2023
33,3333,35,JAWA TIMUR,3577,KOTA MADIUN,"0,03",2023-Q1,TRILIUN RUPIAH,2023
34,3434,35,JAWA TIMUR,3573,KOTA MALANG,"0,29",2023-Q1,TRILIUN RUPIAH,2023
35,3535,35,JAWA TIMUR,3576,KOTA MOJOKERTO,"0,03",2023-Q1,TRILIUN RUPIAH,2023
36,3636,35,JAWA TIMUR,3575,KOTA PASURUAN,"0,05",2023-Q1,TRILIUN RUPIAH,2023
37,3737,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,"0,05",2023-Q1,TRILIUN RUPIAH,2023
38,3838,35,JAWA TIMUR,3578,KOTA SURABAYA,"1,09",2023-Q1,TRILIUN RUPIAH,2023
39,3939,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,"0,03",2023-Q2,TRILIUN RUPIAH,2023
40,4040,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,"0,12",2023-Q2,TRILIUN RUPIAH,2023
41,4141,35,JAWA TIMUR,3505,KABUPATEN BLITAR,"0,07",2023-Q2,TRILIUN RUPIAH,2023
42,4242,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,"0,08",2023-Q2,TRILIUN RUPIAH,2023
43,4343,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,"0,01",2023-Q2,TRILIUN RUPIAH,2023
44,4444,35,JAWA TIMUR,3525,KABUPATEN GRESIK,"0,12",2023-Q2,TRILIUN RUPIAH,2023
45,4545,35,JAWA TIMUR,3509,KABUPATEN JEMBER,"0,13",2023-Q2,TRILIUN RUPIAH,2023
46,4646,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,"0,05",2023-Q2,TRILIUN RUPIAH,2023
47,4747,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,"0,12",2023-Q2,TRILIUN RUPIAH,2023
48,4848,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,"0,05",2023-Q2,TRILIUN RUPIAH,2023
49,4949,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,"0,05",2023-Q2,TRILIUN RUPIAH,2023
50,5050,35,JAWA TIMUR,3519,KABUPATEN MADIUN,"0,03",2023-Q2,TRILIUN RUPIAH,2023
51,5151,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,"0,04",2023-Q2,TRILIUN RUPIAH,2023
52,5252,35,JAWA TIMUR,3507,KABUPATEN MALANG,"0,20",2023-Q2,TRILIUN RUPIAH,2023
53,5353,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,"0,08",2023-Q2,TRILIUN RUPIAH,2023
54,5454,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,"0,04",2023-Q2,TRILIUN RUPIAH,2023
55,5555,35,JAWA TIMUR,3521,KABUPATEN NGAWI,"0,04",2023-Q2,TRILIUN RUPIAH,2023
56,5656,35,JAWA TIMUR,3501,KABUPATEN PACITAN,"0,07",2023-Q2,TRILIUN RUPIAH,2023
57,5757,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,"0,05",2023-Q2,TRILIUN RUPIAH,2023
58,5858,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,"0,10",2023-Q2,TRILIUN RUPIAH,2023
59,5959,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,"0,07",2023-Q2,TRILIUN RUPIAH,2023
60,6060,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,"0,08",2023-Q2,TRILIUN RUPIAH,2023
