Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Pacitan,588,0.12,1.42,410,100.8
Ponorogo,959.5,0.39,2.31,676,99.4
Trenggalek,741.2,0.5,1.78,593,100.6
Tulungagung,1107.8,0.6,2.67,968,100.1
Blitar,1253.6,0.88,3.02,718,101.2
Kediri,1677.2,0.92,4.04,1101,101.9
Malang,2715.6,0.83,6.54,782,101.2
Lumajang,1139.1,0.64,2.74,634,97.8
Jember,2586.8,0.71,6.23,781,99.3
Banyuwangi,1743.9,0.76,4.2,485,100.1
Bondowoso,788.2,0.56,1.9,507,97.2
Situbondo,697,0.58,1.68,421,96.6
Probolinggo,1176.9,0.77,2.83,682,97.5
Pasuruan,1644.5,0.86,3.96,1101,100.1
Sidoarjo,2148.7,1.14,5.17,2968,101.1
Mojokerto,1145.5,0.85,2.76,1163,101.1
Jombang,1351.3,0.91,3.25,1218,101.6
Nganjuk,1124.7,0.68,2.71,872,101.1
Madiun,754.5,0.49,1.82,678,98
Magetan,681.7,0.59,1.64,965,96.8
Ngawi,880.7,0.44,2.12,631,98.3
Bojonegoro,1319.6,0.5,3.18,571,100.7
Tuban,1218.6,0.62,2.93,617,99.7
Lamongan,1369.5,0.68,3.3,781,100.1
Gresik,1350.4,1.08,3.25,1075,101.4
Bangkalan,1091.8,1.07,2.63,839,97.6
Sampang,1004.5,1.29,2.42,818,98.9
Pamekasan,875.8,1.09,2.11,1101,96.7
Sumenep,1146.6,0.71,2.76,550,94
Kota Kediri,295.2,2.94,0.71,4391,100.5
Kota Blitar,153.4,2.86,0.37,4619,98.6
Kota Malang,865.3,2.55,2.08,7790,98.9
Kota Probolinggo,247,3.08,0.59,4517,98.5
Kota Pasuruan,216.4,4.04,0.52,5549,100.1
Kota Mojokerto,136.1,2.8,0.33,6732,98.3
Kota Madiun,200,2.45,0.48,5536,95.9
Kota Surabaya,2911.4,1.29,7.01,8667,98.1
Kota Batu,220.2,3.38,0.53,1134,101.3
Jawa Timur,41527.9,2.12,100,865,99.5
,,,,,
Catatan,,,,,
"1 Hasil Sensus Penduduk (SP) 2020 (September)/The Result of 2020 Population Census (September)2 Hasil Proyeksi Penduduk Interim 2020–2023 (Pertengahan tahun/Juni)/The result of Interim Population Projection 2020–2023 (mid year/June)3 Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2010 (Mei) dibandingkan dengan penduduk tahun 2020 (September)/ The growth rate refers to the change of the population in 2010 (May) to the population in 2020 (September)4 Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2020 (September) dibandingkan dengan penduduk tahun 2021 (Juni)/ The growth rate refers to the change of the population in 2020 (September) to the population in 2021 (June)5 Luas provinsi berdasarkan Peraturan Menteri Dalam Negeri Nomor 72 Tahun 2019 tanggal 25 Oktober 2019/Province area Based on Minister of Home Affairs Regulation Number 72/2019, October 25th, 2019",,,,,
