Lapangan Usaha 17 Kategori,,,,,,,,,,,,,,,
,[Seri 2010] Pertumbuhan Ekonomi Menurut Lapangan Usaha Triwulanan (Persen),,,,,,,,,,,,,,
,Y on Y,,,,,Q to Q,,,,,C to C,,,,
,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A Pertanian, Kehutanan dan Perikanan",10.22,0.5,-,-,-,14.17,16.53,-,-,-,10.22,4.77,-,-,-
B Pertambangan dan Penggalian,4.36,2.05,-,-,-,-1.86,0.16,-,-,-,4.36,3.19,-,-,-
C Industri Pengolahan,4.12,7.39,-,-,-,1.47,2.02,-,-,-,4.12,5.75,-,-,-
D Pengadaan Listrik dan Gas,10.4,1.95,-,-,-,4.56,-7.77,-,-,-,10.4,6.18,-,-,-
"E Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",-1.25,0.79,-,-,-,-0.28,2.2,-,-,-,-1.25,-0.23,-,-,-
F Konstruksi,1.14,5.58,-,-,-,-8.25,4.5,-,-,-,1.14,3.36,-,-,-
G Perdagangan Besar dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,3.58,3.92,-,-,-,-0.76,0.65,-,-,-,3.58,3.75,-,-,-
H Transportasi dan Pergudangan,7.24,9.32,-,-,-,0.75,3.75,-,-,-,7.24,8.29,-,-,-
I Penyediaan Akomodasi dan Makan Minum,7.32,8.38,-,-,-,3.01,1.8,-,-,-,7.32,7.85,-,-,-
J Informasi dan Komunikasi,7.11,6.48,-,-,-,3.57,0.9,-,-,-,7.11,6.79,-,-,-
K Jasa Keuangan dan Asuransi,4.47,1.56,-,-,-,6.18,-2.78,-,-,-,4.47,3.01,-,-,-
L Real Estat,2.14,4.03,-,-,-,0.21,2.7,-,-,-,2.14,3.09,-,-,-
"M,N Jasa Perusahaan",8.49,9.76,-,-,-,0.51,6.46,-,-,-,8.49,9.14,-,-,-
"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",9.87,-2.11,-,-,-,-1.44,0.21,-,-,-,9.87,3.53,-,-,-
P Jasa Pendidikan,6.31,5.12,-,-,-,4.22,0.83,-,-,-,6.31,5.71,-,-,-
Q Jasa Kesehatan dan Kegiatan Sosial,9.61,4.6,-,-,-,0.1,1.57,-,-,-,9.61,7.03,-,-,-
"R,S,T,U Jasa Lainnya",5.4,6.62,-,-,-,-4.97,10.45,-,-,-,5.4,6.04,-,-,-
Produk Domestik Regional Bruto,5,5.23,-,-,-,1.14,3.09,-,-,-,5,5.12,-,-,-
