Kabupaten/Kota Se Jawa Timur,
,Garis Kemiskinan Menurut Kabupaten/Kota di Jawa Timur (Rupiah/Bulan/Kapita)
,2024
Kabupaten Pacitan,370643
Kabupaten Ponorogo,413619
Kabupaten Trenggalek,434146
Kabupaten Tulungagung,447793
Kabupaten Blitar,408399
Kabupaten Kediri,403621
Kabupaten Malang,420334
Kabupaten Lumajang,405136
Kabupaten Jember,459043
Kabupaten Banyuwangi,470713
Kabupaten Bondowoso,517741
Kabupaten Situbondo,413611
Kabupaten Probolinggo,537724
Kabupaten Pasuruan,450088
Kabupaten Sidoarjo,597284
Kabupaten Mojokerto,508618
Kabupaten Jombang,514170
Kabupaten Nganjuk,539714
Kabupaten Madiun,460205
Kabupaten Magetan,455119
Kabupaten Ngawi,445865
Kabupaten Bojonegoro,471457
Kabupaten Tuban,488131
Kabupaten Lamongan,524636
Kabupaten Gresik,608828
Kabupaten Bangkalan,547017
Kabupaten Sampang,491753
Kabupaten Pamekasan,467493
Kabupaten Sumenep,506569
Kota Kediri,621051
Kota Blitar,596105
Kota Malang,706341
Kota Probolinggo,654409
Kota Pasuruan,554195
Kota Mojokerto,610968
Kota Madiun,637838
Kota Surabaya,742678
Kota Batu,642778
Jawa Timur,536122
