Kab/Kota,
,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Jawa Timur (Persen)
,2022
Pacitan,13.8
Ponorogo,9.32
Trenggalek,10.96
Tulungagung,6.71
Blitar,8.71
Kediri,10.65
Malang,9.55
Lumajang,9.06
Jember,9.39
Banyuwangi,7.51
Bondowoso,13.47
Situbondo,11.78
Probolinggo,17.12
Pasuruan,8.96
Sidoarjo,5.36
Mojokerto,9.71
Jombang,9.04
Nganjuk,10.7
Madiun,10.79
Magetan,9.84
Ngawi,14.15
Bojonegoro,12.21
Tuban,15.02
Lamongan,12.53
Gresik,11.06
Bangkalan,19.44
Sampang,21.61
Pamekasan,13.93
Sumenep,18.76
Kota Kediri,7.23
Kota Blitar,7.37
Kota Malang,4.37
Kota Probolinggo,6.65
Kota Pasuruan,6.37
Kota Mojokerto,5.98
Kota Madiun,4.76
Kota Surabaya,4.72
Kota Batu,3.79
Jawa Timur,10.38
