Kabupaten/Kota,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Pacitan,428206,334514.53,762720.53
Ponorogo,491339.62,471114.75,962454.36
Trenggalek,459763.58,400113.17,859876.76
Tulungagung,670291.46,529725.06,1200016.52
Blitar,479054.47,466193.45,945247.92
Kediri,581309.37,500283.38,1081592.75
Malang,505171.77,490747.23,995919
Lumajang,627259.51,479759.99,1107019.5
Jember,517006.5,373585.31,890591.82
Banyuwangi,567864.87,526351.72,1094216.59
Bondowoso,482787.33,436723.55,919510.88
Situbondo,496304.7,363869.32,860174.02
Probolinggo,474668.71,315718.14,790386.85
Pasuruan,574004.96,433233.76,1007238.71
Sidoarjo,759940.77,939105.65,1699046.42
Mojokerto,675297.02,591978.99,1267276.01
Jombang,597518.37,470539.76,1068058.13
Nganjuk,525825.34,440496.68,966322.01
Madiun,488619.38,462927.93,951547.31
Magetan,549483.28,496690.47,1046173.75
Ngawi,456207.38,391069.12,847276.51
Bojonegoro,518922.31,403282.6,922204.91
Tuban,658688.93,580619.96,1239308.89
Lamongan,660748.02,520490.51,1181238.53
Gresik,707601.69,699990.67,1407592.35
Bangkalan,504884.59,274616.26,779500.85
Sampang,444960.49,288433.15,733393.64
Pamekasan,447394.68,296267.99,743662.68
Sumenep,1000169.66,529712.81,1529882.47
Kota Kediri,706618.9,846211.71,1552830.62
Kota Blitar,636690.19,852846.46,1489536.65
Kota Malang,715369.93,1163562.82,1878932.75
Kota Probolinggo,562485.26,810501.28,1372986.54
Kota Pasuruan,758149.35,806118.8,1564268.14
Kota Mojokerto,736250.49,932628.66,1668879.15
Kota Madiun,796090.69,1034318.42,1830409.12
Kota Surabaya,819124.48,1149823.65,1968948.13
Kota Batu,672454.75,751664,1424118.74
Jawa Timur,600847.63,564290.28,1165137.91
,,,
Catatan,,,
 ,,,
