Kelompok Komoditas,Rata-rata Pengeluaran per Kapita Sebulan - Kota (Rp),Rata-rata Pengeluaran per Kapita Sebulan - Desa (Rp),Rata-rata Pengeluaran per Kapita Sebulan - Kota+Desa (Rp)
Makanan/Food,...,...,...
Padi-padian/Cereals,63778,68933,66076
Umbi-umbian/Tubers,6465,5615,6087
Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,43283,36214,40132
Daging/Meat,35309,24332,30416
Telur dan susu/Eggs and milk,37951,24646,32021
Sayur-sayuran/Vegetables,47026,43966,45662
Kacang-kacangan/Legumes,18087,16508,17383
Buah-buahan/Fruits,31070,23608,27744
Minyak dan kelapa/Oil and coconut,21555,21239,21414
Bahan minuman/Beverages stuffs,17927,17892,17911
Bumbu-bumbuan/Spices,14756,12964,13957
Konsumsi lainnya/Miscellaneous food items,12938,12027,12532
Makanan dan minuman jadi/Prepared food and beverages,217967,166863,195188
Rokok/Cigarettes,72720,76321,74325
Jumlah makanan/Total food,640832,551128,600848
Bukan makanan/Non-food,...,...,...
Perumahan dan fasilitas rumah tangga/Housing and household facilities,362705,196444,288596
Aneka barang dan jasa/Goods and services,176983,94898,140394
"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",28594,23615,26374
Barang tahan lama/Durable goods,52340,42670,48030
"Pajak, pungutan, dan asuransi/Taxes and insurance",58419,30842,46127
Keperluan pesta dan upacara/kenduri/Parties and ceremonies,14946,14548,14769
Jumlah bukan makanan/Total non-food,693987,403016,564290
Jumlah/Total,1334819,954144,1165138
,,,
Catatan,,,
 ,,,
