Kelompok Pengeluaran Inflasi,,,,,,,,,,,,
,Indeks Harga Konsumen Menurut Kelompok Pengeluaran,,,,,,,,,,,
,2024,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Umum,105.41,105.93,106.61,106.99,106.76,106.37,106.41,106.34,106.21,106.37,106.62,107.11
"Makanan, Minuman, dan Tembakau",108.7,110.49,112.48,112.61,111.58,110.11,109.78,109.06,108.37,108.81,109.49,111.06
Pakaian dan Alas Kaki,103.87,104.01,104.36,104.62,104.61,104.62,104.84,105,105.07,105.09,105.08,105.23
"Perumahan, Air, Listrik, dan Bahan Bakar Rumah Tangga",102.35,102.34,102.39,102.44,102.52,102.61,102.62,102.63,102.66,102.69,102.73,102.74
"Perlengkapan, Peralatan, dan Pemeliharaan Rutin Rumah Tangga",103.21,103.23,103.4,103.5,103.56,103.6,103.64,103.66,103.67,103.65,103.75,103.81
Kesehatan,104.13,104.33,104.73,104.82,104.83,104.95,105.08,105.09,105.18,105.5,105.59,105.68
Transportasi,107.51,107.47,107.72,109.09,108.77,108.43,108.34,108.65,108.64,107.88,107.94,108.01
"Informasi, Komunikasi, dan Jasa Keuangan",99.39,99.41,99.32,99.34,99.35,99.33,99.34,99.33,99.32,99.33,99.3,99.3
"Rekreasi, Olahraga, dan Budaya",101.9,102.03,102.07,102.14,102.32,102.47,102.78,102.86,103.02,103.1,103.12,103.3
Pendidikan,103.84,103.88,103.88,103.91,103.92,103.92,105.08,105.37,105.43,105.43,105.43,105.43
Penyediaan Makanan dan Minuman/Restoran,105.75,105.88,106.12,106.35,106.65,106.7,106.77,106.84,107,107.41,107.47,107.85
Perawatan Pribadi dan Jasa Lainnya,106.57,106.74,107.58,109.41,110.02,110.21,110.57,111.1,111.5,112.74,113.32,113.31
