Kabupaten/Kota,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Pacitan,520500,401499,921999
Ponorogo,543502,545871,1089373
Trenggalek,500993,468003,968997
Tulungagung,561154,516744,1077898
Blitar,543633,543668,1087302
Kediri,587238,457495,1044733
Malang,631096,529858,1160954
Lumajang,731211,543266,1274477
Jember,610281,500910,1111191
Banyuwangi,794027,722269,1516296
Bondowoso,625529,464748,1090278
Situbondo,590252,548612,1138864
Probolinggo,589486,459675,1049161
Pasuruan,633030,507103,1140133
Sidoarjo,881850,1077398,1959248
Mojokerto,693059,651955,1345014
Jombang,642604,515412,1158016
Nganjuk,653635,538109,1191743
Madiun,596261,502877,1099137
Magetan,569804,565201,1135005
Ngawi,704185,508582,1212767
Bojonegoro,598570,517579,1116149
Tuban,676531,588295,1264826
Lamongan,704189,610344,1314533
Gresik,891691,927459,1819151
Bangkalan,518358,297742,816100
Sampang,514229,326840,841069
Pamekasan,467112,334089,801202
Sumenep,897200,633248,1530449
Kota Kediri,723775,808902,1532678
Kota Blitar,695961,772419,1468379
Kota Malang,738702,1216256,1954957
Kota Probolinggo,604520,866130,1470650
Kota Pasuruan,807394,759857,1567251
Kota Mojokerto,754591,917901,1672493
Kota Madiun,851609,1192130,2043739
Kota Surabaya,1061448,1541008,2602456
Kota Batu,767683,968134,1735817
Jawa Timur,689148,667796,1356943
