id,id_index,kode_provinsi,nama_provinsi,deskripsi,target,realisasi,periode_update,satuan,tahun
72,7272,35,JAWA TIMUR,AGUSTUS,80%,99.87%,2023,PERSEN (%),2023
73,7373,35,JAWA TIMUR,SEPTEMBER,80%,99.33%,2023,PERSEN (%),2023
74,7474,35,JAWA TIMUR,JANUARI,80%,97%,2023,PERSEN (%),2023
75,7575,35,JAWA TIMUR,FEBRUARI,80%,94.23%,2023,PERSEN (%),2023
76,7676,35,JAWA TIMUR,MARET,80%,95.78%,2023,PERSEN (%),2023
77,7777,35,JAWA TIMUR,APRIL,80%,96.63%,2023,PERSEN (%),2023
78,7878,35,JAWA TIMUR,MEI,80%,96.09%,2023,PERSEN (%),2023
79,7979,35,JAWA TIMUR,JUNI,80%,96.15%,2023,PERSEN (%),2023
80,8080,35,JAWA TIMUR,JULI,80%,97.15%,2023,PERSEN (%),2023
81,8181,35,JAWA TIMUR,AGUSTUS,80%,99.87%,2023,PERSEN (%),2023
82,8282,35,JAWA TIMUR,SEPTEMBER,80%,99.33%,2023,PERSEN (%),2023
83,8383,35,JAWA TIMUR,SEPTEMBER,80%,96.93%,2023,PERSEN (%),2023
84,8484,35,JAWA TIMUR,JANUARI,80%,97%,2023,PERSEN (%),2023
85,8585,35,JAWA TIMUR,FEBRUARI,80%,94.23%,2023,PERSEN (%),2023
86,8686,35,JAWA TIMUR,MARET,80%,95.78%,2023,PERSEN (%),2023
87,8787,35,JAWA TIMUR,APRIL,80%,96.63%,2023,PERSEN (%),2023
88,8888,35,JAWA TIMUR,MEI,80%,96.09%,2023,PERSEN (%),2023
89,8989,35,JAWA TIMUR,JUNI,80%,96.15%,2023,PERSEN (%),2023
90,9090,35,JAWA TIMUR,JULI,80%,97.15%,2023,PERSEN (%),2023
91,9191,35,JAWA TIMUR,AGUSTUS,80%,99.87%,2023,PERSEN (%),2023
92,9292,35,JAWA TIMUR,SEPTEMBER,80%,99.33%,2023,PERSEN (%),2023
93,9393,35,JAWA TIMUR,OKTOBER,80%,96.93%,2023,PERSEN (%),2023
94,9494,35,JAWA TIMUR,NOVEMBER,80%,99.71%,2023,PERSEN (%),2023
95,9595,35,JAWA TIMUR,JANUARI,80%,97%,2023,PERSEN (%),2023
96,9696,35,JAWA TIMUR,FEBRUARI,80%,94.23%,2023,PERSEN (%),2023
97,9797,35,JAWA TIMUR,MARET,80%,95.78%,2023,PERSEN (%),2023
98,9898,35,JAWA TIMUR,APRIL,80%,96.63%,2023,PERSEN (%),2023
99,9999,35,JAWA TIMUR,MEI,80%,96.09%,2023,PERSEN (%),2023
100,100100,35,JAWA TIMUR,JUNI,80%,96.15%,2023,PERSEN (%),2023
101,101101,35,JAWA TIMUR,JULI,80%,97.15%,2023,PERSEN (%),2023
102,102102,35,JAWA TIMUR,AGUSTUS,80%,99.87%,2023,PERSEN (%),2023
103,103103,35,JAWA TIMUR,SEPTEMBER,80%,99.33%,2023,PERSEN (%),2023
104,104104,35,JAWA TIMUR,OKTOBER,80%,96.93%,2023,PERSEN (%),2023
105,105105,35,JAWA TIMUR,NOVEMBER,80%,99.71%,2023,PERSEN (%),2023
106,106106,35,JAWA TIMUR,DESEMBER,80%,95.38%,2023,PERSEN (%),2023
107,107107,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
108,108108,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
