Wilayah Desa/Kota,,
,Tingkat Pengangguran Terbuka (TPT) Menurut Wilayah Klasifikasi Wilayah (Persen),
,2025,
,Februari,Agustus
Perkotaan,3.76,-
Perdesaan,3.4,-
Perkotaan & Perdesaan,3.61,-
