Lapangan Usaha 17 Kategori,,,,,,,,,,,,,,,
,[Seri 2010] Pertumbuhan Ekonomi Menurut Lapangan Usaha Triwulanan (Persen),,,,,,,,,,,,,,
,Y on Y,,,,,Q to Q,,,,,C to C,,,,
,2022,,,,,2022,,,,,2022,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A Pertanian, Kehutanan dan Perikanan",3.85,1.36,1.67,0.62,1.87,13.2,13.97,3.57,-24.7,1.87,3.85,2.51,2.21,1.87,1.87
B Pertambangan dan Penggalian,-8.05,-10.05,-6.6,-3.06,-6.99,-4.17,-0.41,-0.45,2.03,-6.99,-8.05,-9.06,-8.25,-6.99,-6.99
C Industri Pengolahan,6.97,8.05,5.44,4.63,6.24,1.71,0.18,1.31,1.36,6.24,6.97,7.51,6.8,6.24,6.24
D Pengadaan Listrik dan Gas,7.26,9.58,7.36,5.97,7.51,-0.71,2.72,1.89,1.98,7.51,7.26,8.42,8.06,7.51,7.51
"E Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",1.39,3.13,3.25,1.26,2.26,-3.14,3.24,1.94,-0.66,2.26,1.39,2.27,2.6,2.26,2.26
F Konstruksi,3.92,8.03,6.2,7.04,6.3,-5.57,0.87,7.98,4.06,6.3,3.92,5.94,6.03,6.3,6.3
G Perdagangan Besar dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,6.59,6.99,8.1,5.87,6.88,0.31,0.91,3.13,1.41,6.88,6.59,6.79,7.23,6.88,6.88
H Transportasi dan Pergudangan,18.78,22.2,28.02,10.63,19.49,-0.96,5.85,2.08,3.38,19.49,18.78,20.51,23,19.49,19.49
I Penyediaan Akomodasi dan Makan Minum,5.99,8.57,13.14,9.68,9.34,-0.43,2.95,2.47,4.42,9.34,5.99,7.29,9.22,9.34,9.34
J Informasi dan Komunikasi,6.63,5.01,2.3,4.34,4.54,0.24,1.87,0.05,2.13,4.54,6.63,5.81,4.6,4.54,4.54
K Jasa Keuangan dan Asuransi,2.28,4.85,0.6,1.58,2.33,0.94,3.15,-3.92,1.54,2.33,2.28,3.57,2.58,2.33,2.33
L Real Estat,2.89,4.9,5.3,5.12,4.55,2.08,2.1,0.71,0.15,4.55,2.89,3.9,4.37,4.55,4.55
"M,N Jasa Perusahaan",4.51,5.37,5.15,5.69,5.18,0.61,1.38,0.15,3.46,5.18,4.51,4.94,5.01,5.18,5.18
"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",0.74,-5.84,1.66,4.85,0.26,-4.79,3.82,-1.07,7.22,0.26,0.74,-2.72,-1.3,0.26,0.26
P Jasa Pendidikan,0.06,-0.12,1.93,1.53,0.85,-3.88,-0.2,0.24,5.59,0.85,0.06,-0.03,0.62,0.85,0.85
Q Jasa Kesehatan dan Kegiatan Sosial,4.27,5.53,-0.58,0.33,2.3,0.03,1.08,2.15,-2.85,2.3,4.27,4.9,2.97,2.3,2.3
"R,S,T,U Jasa Lainnya",5.32,13.07,19.43,12.35,12.44,2.79,7.58,-0.61,2.22,12.44,5.32,9.2,12.47,12.44,12.44
Produk Domestik Regional Bruto,5.24,5.77,5.59,4.76,5.34,0.85,2.41,2.16,-0.71,5.34,5.24,5.51,5.54,5.34,5.34
