Kabupaten/Kota Se Jawa Timur,
,Indeks Pembangunan Manusia (Hasil Long Form SP2020) Menurut Kabupaten/Kota
,2023
Kabupaten Pacitan,70.94
Kabupaten Ponorogo,73.18
Kabupaten Trenggalek,71.96
Kabupaten Tulungagung,74.65
Kabupaten Blitar,72.84
Kabupaten Kediri,74.68
Kabupaten Malang,73
Kabupaten Lumajang,69.37
Kabupaten Jember,70.42
Kabupaten Banyuwangi,73.79
Kabupaten Bondowoso,70.56
Kabupaten Situbondo,70.65
Kabupaten Probolinggo,70.36
Kabupaten Pasuruan,71.91
Kabupaten Sidoarjo,81.88
Kabupaten Mojokerto,76.23
Kabupaten Jombang,75.16
Kabupaten Nganjuk,74.7
Kabupaten Madiun,74.02
Kabupaten Magetan,76.3
Kabupaten Ngawi,73.28
Kabupaten Bojonegoro,71.8
Kabupaten Tuban,71.4
Kabupaten Lamongan,75.29
Kabupaten Gresik,78.44
Kabupaten Bangkalan,66.82
Kabupaten Sampang,66.19
Kabupaten Pamekasan,70.32
Kabupaten Sumenep,69.13
Kota Kediri,80.97
Kota Blitar,80.78
Kota Malang,84
Kota Probolinggo,76.93
Kota Pasuruan,78.3
Kota Mojokerto,80.9
Kota Madiun,83.71
Kota Surabaya,83.99
Kota Batu,79.07
Jawa Timur,74.65
