Bulan,
,Inflasi Tahun ke Tahun (Y o Y) (Persen)
,2025
Januari,1.06
Februari,-0.03
Maret,0.77
April,1.35
Mei,1.22
Juni,2.02
Juli,2.21
Agustus,-
September,-
Oktober,-
November,-
Desember,-
