Wilayah Desa/Kota,,
,Tingkat Pengangguran Terbuka (TPT) Menurut Wilayah Klasifikasi Wilayah (Persen),
,2023,
,Februari,Agustus
Perkotaan,6.23,5.58
Perdesaan,2.13,4.01
Perkotaan & Perdesaan,4.33,4.88
