id,id_index,kode_provinsi,nama_provinsi,bidang_usaha,modal_usaha__triliun_rp_,periode_update,satuan,tahun
202,202202,35,JAWA TIMUR,KONSTRUKSI,"0,15",2025-Q1,TRILIUN RUPIAH,2025
203,203203,35,JAWA TIMUR,PERDAGANGAN DAN REPARASI,"0,57",2025-Q1,TRILIUN RUPIAH,2025
204,204204,35,JAWA TIMUR,HOTEL DAN RESTORAN,"0,76",2025-Q1,TRILIUN RUPIAH,2025
205,205205,35,JAWA TIMUR,"TRANSPORTASI, GUDANG DAN   TELEKOMUNIKASI","0,13",2025-Q1,TRILIUN RUPIAH,2025
206,206206,35,JAWA TIMUR,"PERUMAHAN, KAWASAN INDUSTRI DAN   PERKANTORAN","0,14",2025-Q1,TRILIUN RUPIAH,2025
207,207207,35,JAWA TIMUR,JASA LAINNYA,"1,10",2025-Q1,TRILIUN RUPIAH,2025
208,208208,35,JAWA TIMUR,"TANAMAN PANGAN, PERKEBUNAN, DAN   PETERNAKAN","0,07",2025-Q2,TRILIUN RUPIAH,2025
209,209209,35,JAWA TIMUR,KEHUTANAN,"0,01",2025-Q2,TRILIUN RUPIAH,2025
210,210210,35,JAWA TIMUR,PERIKANAN,"0,01",2025-Q2,TRILIUN RUPIAH,2025
211,211211,35,JAWA TIMUR,PERTAMBANGAN,"0,03",2025-Q2,TRILIUN RUPIAH,2025
212,212212,35,JAWA TIMUR,INDUSTRI MAKANAN,"0,11",2025-Q2,TRILIUN RUPIAH,2025
213,213213,35,JAWA TIMUR,INDUSTRI TEKSTIL,"0,01",2025-Q2,TRILIUN RUPIAH,2025
214,214214,35,JAWA TIMUR,INDUSTRI BARANG DARI KULIT DAN   ALAS KAKI,"0,00",2025-Q2,TRILIUN RUPIAH,2025
215,215215,35,JAWA TIMUR,INDUSTRI KAYU,"0,01",2025-Q2,TRILIUN RUPIAH,2025
216,216216,35,JAWA TIMUR,INDUSTRI KERTAS DAN PERCETAKAN,"0,02",2025-Q2,TRILIUN RUPIAH,2025
217,217217,35,JAWA TIMUR,INDUSTRI KIMIA DAN FARMASI,"0,02",2025-Q2,TRILIUN RUPIAH,2025
218,218218,35,JAWA TIMUR,INDUSTRI KARET DAN PLASTIK,"0,01",2025-Q2,TRILIUN RUPIAH,2025
219,219219,35,JAWA TIMUR,INDUSTRI MINERAL NON LOGAM,"0,02",2025-Q2,TRILIUN RUPIAH,2025
220,220220,35,JAWA TIMUR,"INDUSTRI LOGAM DASAR, BARANG   LOGAM, BUKAN MESIN DAN PERALATANNYA","0,03",2025-Q2,TRILIUN RUPIAH,2025
221,221221,35,JAWA TIMUR,"INDUSTRI  MESIN, ELEKTRONIK, INSTRUMEN KEDOKTERAN,   PERALATAN LISTRIK, PRESISI, OPTIK DAN JAM","0,01",2025-Q2,TRILIUN RUPIAH,2025
222,222222,35,JAWA TIMUR,INDUSTRI KENDARAAN BERMOTOR DAN   ALAT TRANSPORTASI LAIN,"0,01",2025-Q2,TRILIUN RUPIAH,2025
223,223223,35,JAWA TIMUR,INDUSTRI LAINNYA,"0,02",2025-Q2,TRILIUN RUPIAH,2025
224,224224,35,JAWA TIMUR,"LISTRIK, GAS DAN AIR","0,01",2025-Q2,TRILIUN RUPIAH,2025
225,225225,35,JAWA TIMUR,KONSTRUKSI,"0,15",2025-Q2,TRILIUN RUPIAH,2025
226,226226,35,JAWA TIMUR,PERDAGANGAN DAN REPARASI,"0,57",2025-Q2,TRILIUN RUPIAH,2025
227,227227,35,JAWA TIMUR,HOTEL DAN RESTORAN,"0,76",2025-Q2,TRILIUN RUPIAH,2025
228,228228,35,JAWA TIMUR,"TRANSPORTASI, GUDANG DAN   TELEKOMUNIKASI","0,13",2025-Q2,TRILIUN RUPIAH,2025
229,229229,35,JAWA TIMUR,"PERUMAHAN, KAWASAN INDUSTRI DAN   PERKANTORAN","0,14",2025-Q2,TRILIUN RUPIAH,2025
230,230230,35,JAWA TIMUR,JASA LAINNYA,"1,10",2025-Q2,TRILIUN RUPIAH,2025
