Lapangan Usaha 17 Kategori,,,,,,,,,,,,,,,
,[Seri 2010] Pertumbuhan Ekonomi Menurut Lapangan Usaha Triwulanan (Persen),,,,,,,,,,,,,,
,Y on Y,,,,,Q to Q,,,,,C to C,,,,
,2023,,,,,2023,,,,,2023,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A Pertanian, Kehutanan dan Perikanan",2.42,1.73,2.97,1.8,2.26,15.22,13.2,4.84,-25.55,2.26,2.42,2.05,2.38,2.26,2.26
B Pertambangan dan Penggalian,0.71,4.09,3.57,-1.71,1.65,-0.44,2.94,-0.95,-3.18,1.65,0.71,2.4,2.79,1.65,1.65
C Industri Pengolahan,3.76,3.97,4.16,4.52,4.11,0.87,0.37,1.5,1.72,4.11,3.76,3.87,3.96,4.11,4.11
D Pengadaan Listrik dan Gas,20.72,15.73,30.84,29.23,24.23,13.11,-1.53,15.19,0.73,24.23,20.72,18.19,22.5,24.23,24.23
"E Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",4.71,2.78,0.9,3.38,2.92,0.15,1.34,0.07,1.79,2.92,4.71,3.73,2.76,2.92,2.92
F Konstruksi,5.89,6.09,3.26,5.14,5.06,-6.58,1.06,5.11,5.96,5.06,5.89,5.99,5.03,5.06,5.06
G Perdagangan Besar dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,6.56,6.48,5.54,4.54,5.76,0.97,0.83,2.23,0.44,5.76,6.56,6.52,6.19,5.76,5.76
H Transportasi dan Pergudangan,11.74,13.9,13.08,14.29,13.29,0.04,7.9,1.34,4.48,13.29,11.74,12.85,12.93,13.29,13.29
I Penyediaan Akomodasi dan Makan Minum,9.43,8.28,5.6,8.93,8.05,-0.66,1.87,-0.06,7.7,8.05,9.43,8.85,7.74,8.05,8.05
J Informasi dan Komunikasi,5.94,7.04,6.28,7.13,6.6,1.78,2.93,-0.66,2.94,6.6,5.94,6.49,6.42,6.6,6.6
K Jasa Keuangan dan Asuransi,1.09,1.02,8.86,4.38,3.81,0.45,3.08,3.54,-2.64,3.81,1.09,1.05,3.61,3.81,3.81
L Real Estat,3.36,2.45,2.36,2.6,2.69,0.38,1.19,0.62,0.39,2.69,3.36,2.9,2.72,2.69,2.69
"M,N Jasa Perusahaan",6.25,8.89,9.55,8.35,8.27,1.14,3.91,0.76,2.32,8.27,6.25,7.58,8.24,8.27,8.27
"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1.42,6.03,-2.11,-4.84,0.04,-7.91,8.55,-8.67,4.24,0.04,1.42,3.77,1.8,0.04,0.04
P Jasa Pendidikan,5.32,5.43,7.31,1.48,4.84,-0.3,-0.09,2.02,-0.15,4.84,5.32,5.37,6.02,4.84,4.84
Q Jasa Kesehatan dan Kegiatan Sosial,3.38,4.93,2.08,4.93,3.82,3.08,2.59,-0.63,-0.14,3.82,3.38,4.16,3.46,3.82,3.82
"R,S,T,U Jasa Lainnya",8.82,9.67,9.06,9.4,9.25,-0.44,8.42,-1.16,2.54,9.25,8.82,9.26,9.19,9.25,9.25
Produk Domestik Regional Bruto,4.96,5.26,4.87,4.69,4.95,1.04,2.7,1.79,-0.89,4.95,4.96,5.11,5.03,4.95,4.95
