Kabupaten/Kota Se Jawa Timur,
,Garis Kemiskinan Menurut Kabupaten/Kota di Jawa Timur (Rupiah/Bulan/Kapita)
,2022
Kabupaten Pacitan,327758
Kabupaten Ponorogo,362461
Kabupaten Trenggalek,381448
Kabupaten Tulungagung,391888
Kabupaten Blitar,355511
Kabupaten Kediri,353033
Kabupaten Malang,367579
Kabupaten Lumajang,352776
Kabupaten Jember,400961
Kabupaten Banyuwangi,414879
Kabupaten Bondowoso,449760
Kabupaten Situbondo,356133
Kabupaten Probolinggo,475713
Kabupaten Pasuruan,394016
Kabupaten Sidoarjo,523213
Kabupaten Mojokerto,445608
Kabupaten Jombang,448830
Kabupaten Nganjuk,474429
Kabupaten Madiun,405127
Kabupaten Magetan,396696
Kabupaten Ngawi,382301
Kabupaten Bojonegoro,403403
Kabupaten Tuban,421287
Kabupaten Lamongan,446601
Kabupaten Gresik,536544
Kabupaten Bangkalan,458754
Kabupaten Sampang,411661
Kabupaten Pamekasan,392345
Kabupaten Sumenep,427882
Kota Kediri,537326
Kota Blitar,517363
Kota Malang,609612
Kota Probolinggo,575195
Kota Pasuruan,486893
Kota Mojokerto,531804
Kota Madiun,551620
Kota Surabaya,652540
Kota Batu,564010
Jawa Timur,460909
