Kelompok Komoditas,Persentase Pengeluaran per Kapita Sebulan - Kota,Persentase Pengeluaran per Kapita Sebulan - Desa,Persentase Pengeluaran per Kapita Sebulan - Kota+Desa
Makanan/Food,...,...,...
Padi-padian/Cereals,4.66,7.32,5.6
Umbi-umbian/Tubers,0.45,0.58,0.5
Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,2.92,3.63,3.18
Daging/Meat,2.43,2.31,2.39
Telur dan susu/Eggs and milk,2.68,2.57,2.64
Sayur-sayuran/Vegetables,3.42,4.69,3.87
Kacang-kacangan/Legumes,1.34,1.71,1.47
Buah-buahan/Fruits,2.33,2.49,2.38
Minyak dan kelapa/Oil and coconut,1.27,1.82,1.46
Bahan minuman/Beverages stuffs,1.25,1.81,1.45
Bumbu-bumbuan/Spices,1.03,1.34,1.14
Konsumsi lainnya/Miscellaneous food items,0.92,1.18,1.01
Makanan dan minuman jadi/Prepared food and beverages,15.73,16.89,16.14
Rokok/Cigarettes,5.61,7.91,6.43
Jumlah makanan/Total food,46.05,56.23,49.67
Bukan makanan/Non-food,...,...,...
Perumahan dan fasilitas rumah tangga/Housing and household facilities,27.37,21.46,25.27
Aneka barang dan jasa/Goods and services,13.1,9.89,11.96
"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",2.24,2.45,2.31
Barang tahan lama/Durable goods,4.48,4.38,4.44
"Pajak, pungutan, dan asuransi/Taxes and insurance",4.69,3.37,4.22
Keperluan pesta dan upacara/kenduri/Parties and ceremonies,2.07,2.22,2.12
Jumlah bukan makanan/Total non-food,53.95,43.77,50.33
Jumlah/Total,100,100,100
,,,
Catatan,,,
"*Provinsi Papua Barat Daya masih mengikuti angka Provinsi Papua Barat/<i>Papua Barat Daya Province still follows Papua Barat Province figures.</i>*Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan masih mengikuti angka Provinsi Papua/<i>The provinces of Papua Selatan, Papua Tengah, and Papua Pegunungan still follow Papua Province figures.</i>",,,
