Kelompok Pengeluaran Inflasi,,,,,,,,,,,,
,Indeks Harga Konsumen Menurut Kelompok Pengeluaran,,,,,,,,,,,
,2025,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Umum,106.53,105.9,107.43,108.43,-,-,-,-,-,-,-,-
"Makanan, Minuman, dan Tembakau",112.96,112.43,114.32,113.01,-,-,-,-,-,-,-,-
Pakaian dan Alas Kaki,105.25,105.32,105.51,105.55,-,-,-,-,-,-,-,-
"Perumahan, Air, Listrik, dan Bahan Bakar Rumah Tangga",92.36,86.57,94.72,103.85,-,-,-,-,-,-,-,-
"Perlengkapan, Peralatan, dan Pemeliharaan Rutin Rumah Tangga",103.86,103.89,103.98,104.02,-,-,-,-,-,-,-,-
Kesehatan,106.15,106.1,106.77,106.87,-,-,-,-,-,-,-,-
Transportasi,108.27,108.77,108.24,108.73,-,-,-,-,-,-,-,-
"Informasi, Komunikasi, dan Jasa Keuangan",99.23,99.18,99.16,98.65,-,-,-,-,-,-,-,-
"Rekreasi, Olahraga, dan Budaya",103.35,103.45,103.5,103.66,-,-,-,-,-,-,-,-
Pendidikan,105.43,105.43,105.43,105.43,-,-,-,-,-,-,-,-
Penyediaan Makanan dan Minuman/Restoran,108.14,108.17,108.38,108.55,-,-,-,-,-,-,-,-
Perawatan Pribadi dan Jasa Lainnya,114.13,115.98,117.2,120.77,-,-,-,-,-,-,-,-
