Kabupaten/Kota,Persentase Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Persentase Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan
Pacitan,56.14,43.86
Ponorogo,51.05,48.95
Trenggalek,53.47,46.53
Tulungagung,55.86,44.14
Blitar,50.68,49.32
Kediri,53.75,46.25
Malang,50.72,49.28
Lumajang,56.66,43.34
Jember,58.05,41.95
Banyuwangi,51.9,48.1
Bondowoso,52.5,47.5
Situbondo,57.7,42.3
Probolinggo,60.06,39.94
Pasuruan,56.99,43.01
Sidoarjo,44.73,55.27
Mojokerto,53.29,46.71
Jombang,55.94,44.06
Nganjuk,54.42,45.58
Madiun,51.35,48.65
Magetan,52.52,47.48
Ngawi,53.84,46.16
Bojonegoro,56.27,43.73
Tuban,53.15,46.85
Lamongan,55.94,44.06
Gresik,50.27,49.73
Bangkalan,64.77,35.23
Sampang,60.67,39.33
Pamekasan,60.16,39.84
Sumenep,65.38,34.62
Kota Kediri,45.51,54.49
Kota Blitar,42.74,57.26
Kota Malang,38.07,61.93
Kota Probolinggo,40.97,59.03
Kota Pasuruan,48.47,51.53
Kota Mojokerto,44.12,55.88
Kota Madiun,43.49,56.51
Kota Surabaya,41.6,58.4
Kota Batu,47.22,52.78
Jawa Timur,51.57,48.43
,,
Catatan,,
 ,,
