id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
22,4322,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018-Q4,JUMLAH KARYAWAN,423.0,ORANG,2018
22,4422,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018-Q4,JUMLAH MANAGER,53.0,ORANG,2018
23,4523,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2018-Q4,JUMLAH KARYAWAN,1.034,ORANG,2018
23,4623,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2018-Q4,JUMLAH MANAGER,73.0,ORANG,2018
24,4724,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018-Q4,JUMLAH KARYAWAN,694.0,ORANG,2018
24,4824,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2018-Q4,JUMLAH MANAGER,40.0,ORANG,2018
25,4925,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018-Q4,JUMLAH KARYAWAN,8.718,ORANG,2018
25,5025,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2018-Q4,JUMLAH MANAGER,51.0,ORANG,2018
26,5126,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2018-Q4,JUMLAH KARYAWAN,170.0,ORANG,2018
26,5226,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2018-Q4,JUMLAH MANAGER,9.0,ORANG,2018
27,5327,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-Q4,JUMLAH KARYAWAN,163.0,ORANG,2018
27,5427,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2018-Q4,JUMLAH MANAGER,29.0,ORANG,2018
28,5528,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2018-Q4,JUMLAH KARYAWAN,310.0,ORANG,2018
28,5628,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2018-Q4,JUMLAH MANAGER,78.0,ORANG,2018
29,5729,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018-Q4,JUMLAH KARYAWAN,672.0,ORANG,2018
29,5829,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2018-Q4,JUMLAH MANAGER,59.0,ORANG,2018
