Kab/Kota,
,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Jawa Timur (Persen)
,2024
Pacitan,13.08
Ponorogo,9.11
Trenggalek,10.5
Tulungagung,6.28
Blitar,8.16
Kediri,9.95
Malang,8.98
Lumajang,8.65
Jember,9.01
Banyuwangi,6.54
Bondowoso,12.6
Situbondo,11.51
Probolinggo,16.45
Pasuruan,8.63
Sidoarjo,4.53
Mojokerto,9.37
Jombang,8.6
Nganjuk,10.17
Madiun,10.63
Magetan,9.32
Ngawi,13.81
Bojonegoro,11.69
Tuban,14.36
Lamongan,12.16
Gresik,10.32
Bangkalan,18.66
Sampang,20.83
Pamekasan,13.41
Sumenep,17.78
Kota Kediri,6.51
Kota Blitar,6.75
Kota Malang,3.91
Kota Probolinggo,6.18
Kota Pasuruan,6.32
Kota Mojokerto,5.57
Kota Madiun,4.38
Kota Surabaya,3.96
Kota Batu,3.06
Jawa Timur,9.79
