id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_ekraf,jumlah_usaha,periode_update,satuan,tahun
54,5454,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,SENI PERTUNJUKKAN,2,2024,UNIT,2024
55,5555,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,TELEVISI DAN RADIO,7,2024,UNIT,2024
56,5656,35,JAWA TIMUR,3525,KABUPATEN GRESIK,APLIKASI,1,2024,UNIT,2024
57,5757,35,JAWA TIMUR,3525,KABUPATEN GRESIK,ARSITEKTUR,7,2024,UNIT,2024
58,5858,35,JAWA TIMUR,3525,KABUPATEN GRESIK,DESAIN INTERIOR,9,2024,UNIT,2024
59,5959,35,JAWA TIMUR,3525,KABUPATEN GRESIK,DESAIN KOMUNIKASI VISUAL,17,2024,UNIT,2024
60,6060,35,JAWA TIMUR,3525,KABUPATEN GRESIK,DESAIN PRODUK,3,2024,UNIT,2024
61,6161,35,JAWA TIMUR,3525,KABUPATEN GRESIK,FASHION,60,2024,UNIT,2024
62,6262,35,JAWA TIMUR,3525,KABUPATEN GRESIK,"FILM, ANIMASI, DAN VIDEO",3,2024,UNIT,2024
63,6363,35,JAWA TIMUR,3525,KABUPATEN GRESIK,FOTOGRAFI,32,2024,UNIT,2024
64,6464,35,JAWA TIMUR,3525,KABUPATEN GRESIK,KRIYA,80,2024,UNIT,2024
65,6565,35,JAWA TIMUR,3525,KABUPATEN GRESIK,KULINER,191,2024,UNIT,2024
66,6666,35,JAWA TIMUR,3525,KABUPATEN GRESIK,MUSIK,7,2024,UNIT,2024
67,6767,35,JAWA TIMUR,3525,KABUPATEN GRESIK,PERIKLANAN,4,2024,UNIT,2024
68,6868,35,JAWA TIMUR,3525,KABUPATEN GRESIK,SENI PERTUNJUKKAN,193,2024,UNIT,2024
69,6969,35,JAWA TIMUR,3525,KABUPATEN GRESIK,SENI RUPA,3,2024,UNIT,2024
70,7070,35,JAWA TIMUR,3525,KABUPATEN GRESIK,TELEVISI DAN RADIO,3,2024,UNIT,2024
71,7171,35,JAWA TIMUR,3509,KABUPATEN JEMBER,DESAIN KOMUNIKASI VISUAL,2,2024,UNIT,2024
72,7272,35,JAWA TIMUR,3509,KABUPATEN JEMBER,DESAIN PRODUK,1,2024,UNIT,2024
73,7373,35,JAWA TIMUR,3509,KABUPATEN JEMBER,FASHION,54,2024,UNIT,2024
74,7474,35,JAWA TIMUR,3509,KABUPATEN JEMBER,"FILM, ANIMASI, DAN VIDEO",5,2024,UNIT,2024
75,7575,35,JAWA TIMUR,3509,KABUPATEN JEMBER,FOTOGRAFI,1,2024,UNIT,2024
76,7676,35,JAWA TIMUR,3509,KABUPATEN JEMBER,KRIYA,39,2024,UNIT,2024
77,7777,35,JAWA TIMUR,3509,KABUPATEN JEMBER,KULINER,216,2024,UNIT,2024
78,7878,35,JAWA TIMUR,3509,KABUPATEN JEMBER,SENI PERTUNJUKKAN,1,2024,UNIT,2024
79,7979,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,FASHION,14,2024,UNIT,2024
80,8080,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,FOTOGRAFI,2,2024,UNIT,2024
81,8181,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,KULINER,13,2024,UNIT,2024
82,8282,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,APLIKASI,137,2024,UNIT,2024
83,8383,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,ARSITEKTUR,30,2024,UNIT,2024
84,8484,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,DESAIN INTERIOR,14,2024,UNIT,2024
85,8585,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,DESAIN KOMUNIKASI VISUAL,58,2024,UNIT,2024
86,8686,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,DESAIN PRODUK,32,2024,UNIT,2024
87,8787,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,FASHION,226,2024,UNIT,2024
88,8888,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,"FILM, ANIMASI, DAN VIDEO",42,2024,UNIT,2024
89,8989,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,FOTOGRAFI,39,2024,UNIT,2024
90,9090,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,KRIYA,264,2024,UNIT,2024
91,9191,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,KULINER,1482,2024,UNIT,2024
92,9292,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,MUSIK,102,2024,UNIT,2024
93,9393,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,PENERBITAN,165,2024,UNIT,2024
94,9494,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,PENGEMBANG PERMAINAN,31,2024,UNIT,2024
95,9595,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,PERIKLANAN,87,2024,UNIT,2024
96,9696,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,SENI PERTUNJUKKAN,263,2024,UNIT,2024
97,9797,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,SENI RUPA,54,2024,UNIT,2024
98,9898,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,TELEVISI DAN RADIO,10,2024,UNIT,2024
99,9999,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,ARSITEKTUR,11,2024,UNIT,2024
100,100100,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,DESAIN INTERIOR,9,2024,UNIT,2024
101,101101,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,DESAIN KOMUNIKASI VISUAL,1,2024,UNIT,2024
102,102102,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,DESAIN PRODUK,9,2024,UNIT,2024
103,103103,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,FASHION,11,2024,UNIT,2024
104,104104,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,"FILM, ANIMASI, DAN VIDEO",7,2024,UNIT,2024
105,105105,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,FOTOGRAFI,1,2024,UNIT,2024
106,106106,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,KRIYA,7,2024,UNIT,2024
107,107107,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,KULINER,877,2024,UNIT,2024
108,108108,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,MUSIK,14,2024,UNIT,2024
109,109109,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,PENERBITAN,12,2024,UNIT,2024
110,110110,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,PENGEMBANG PERMAINAN,14,2024,UNIT,2024
111,111111,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,PERIKLANAN,29,2024,UNIT,2024
112,112112,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,SENI PERTUNJUKKAN,16,2024,UNIT,2024
113,113113,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,SENI RUPA,9,2024,UNIT,2024
114,114114,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,TELEVISI DAN RADIO,6,2024,UNIT,2024
115,115115,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,DESAIN KOMUNIKASI VISUAL,1,2024,UNIT,2024
116,116116,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,FASHION,34,2024,UNIT,2024
117,117117,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,"FILM, ANIMASI, DAN VIDEO",4,2024,UNIT,2024
118,118118,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,FOTOGRAFI,4,2024,UNIT,2024
119,119119,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,KRIYA,20,2024,UNIT,2024
120,120120,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,KULINER,22,2024,UNIT,2024
121,121121,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,MUSIK,5,2024,UNIT,2024
122,122122,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,SENI PERTUNJUKKAN,2,2024,UNIT,2024
123,123123,35,JAWA TIMUR,3519,KABUPATEN MADIUN,DESAIN INTERIOR,1,2024,UNIT,2024
124,124124,35,JAWA TIMUR,3519,KABUPATEN MADIUN,DESAIN KOMUNIKASI VISUAL,4,2024,UNIT,2024
125,125125,35,JAWA TIMUR,3519,KABUPATEN MADIUN,DESAIN PRODUK,2,2024,UNIT,2024
126,126126,35,JAWA TIMUR,3519,KABUPATEN MADIUN,FASHION,21,2024,UNIT,2024
127,127127,35,JAWA TIMUR,3519,KABUPATEN MADIUN,FOTOGRAFI,5,2024,UNIT,2024
128,128128,35,JAWA TIMUR,3519,KABUPATEN MADIUN,KRIYA,34,2024,UNIT,2024
129,129129,35,JAWA TIMUR,3519,KABUPATEN MADIUN,KULINER,2,2024,UNIT,2024
130,130130,35,JAWA TIMUR,3519,KABUPATEN MADIUN,PERIKLANAN,1,2024,UNIT,2024
131,131131,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,APLIKASI,1,2024,UNIT,2024
132,132132,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,ARSITEKTUR,2,2024,UNIT,2024
133,133133,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,DESAIN INTERIOR,2,2024,UNIT,2024
134,134134,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,DESAIN PRODUK,2,2024,UNIT,2024
135,135135,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,FASHION,13,2024,UNIT,2024
136,136136,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,FOTOGRAFI,2,2024,UNIT,2024
137,137137,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,KRIYA,11,2024,UNIT,2024
