nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,PERUSAHAAN SEDANG,2023,106
KABUPATEN BANYUWANGI,PERUSAHAAN SEDANG,2023,430
KABUPATEN BOJONEGORO,PERUSAHAAN SEDANG,2023,246
KABUPATEN BONDOWOSO,PERUSAHAAN SEDANG,2023,44
KABUPATEN GRESIK,PERUSAHAAN SEDANG,2023,1552
KABUPATEN JEMBER,PERUSAHAAN SEDANG,2023,585
KABUPATEN JOMBANG,PERUSAHAAN SEDANG,2023,286
KABUPATEN LAMONGAN,PERUSAHAAN SEDANG,2023,314
KABUPATEN LUMAJANG,PERUSAHAAN SEDANG,2023,68
KABUPATEN MAGETAN,PERUSAHAAN SEDANG,2023,41
KABUPATEN NGANJUK,PERUSAHAAN SEDANG,2023,129
KABUPATEN NGAWI,PERUSAHAAN SEDANG,2023,89
KABUPATEN PACITAN,PERUSAHAAN SEDANG,2023,63
KABUPATEN PAMEKASAN,PERUSAHAAN SEDANG,2023,142
KABUPATEN PONOROGO,PERUSAHAAN SEDANG,2023,102
KABUPATEN SAMPANG,PERUSAHAAN SEDANG,2023,14
KABUPATEN SIDOARJO,PERUSAHAAN SEDANG,2023,2449
KABUPATEN SITUBONDO,PERUSAHAAN SEDANG,2023,164
KABUPATEN SUMENEP,PERUSAHAAN SEDANG,2023,47
KABUPATEN TRENGGALEK,PERUSAHAAN SEDANG,2023,75
KABUPATEN TUBAN,PERUSAHAAN SEDANG,2023,330
KABUPATEN TULUNGAGUNG,PERUSAHAAN SEDANG,2023,275
KOTA BATU,PERUSAHAAN SEDANG,2023,148
KOTA BLITAR,PERUSAHAAN SEDANG,2023,202
KOTA KEDIRI,PERUSAHAAN SEDANG,2023,627
KOTA MADIUN,PERUSAHAAN SEDANG,2023,443
KOTA MALANG,PERUSAHAAN SEDANG,2023,1542
KOTA MOJOKERTO,PERUSAHAAN SEDANG,2023,806
KOTA PASURUAN,PERUSAHAAN SEDANG,2023,1119
KOTA PROBOLINGGO,PERUSAHAAN SEDANG,2023,369
KOTA SURABAYA,PERUSAHAAN SEDANG,2023,6164
