Kabupaten/Kota,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Kabupaten Pacitan,4739.33,4849.83,5109.9,4791.44,19490.5
Kabupaten Ponorogo,6056.21,6366.13,6709.63,6115.81,25247.78
Kabupaten Trenggalek,5298.34,5612.93,5906.89,5921.89,22740.05
Kabupaten Tulungagung,11366.57,12205.37,12605.68,11786.82,47964.44
Kabupaten Blitar,10952.34,11640.28,11305.28,10993.84,44891.73
Kabupaten Kediri,11809.9,12484.95,13563,12780.3,50638.15
Kabupaten Malang,30819.86,31742.17,32696.49,33114.7,128373.22
Kabupaten Lumajang,9387.35,10331.04,10361.21,9993.17,40072.78
Kabupaten Jember,22082.77,24074.78,25586.5,23545.74,95289.79
Kabupaten Banyuwangi,23568.27,25561.89,25886.47,26279.99,101296.62
Kabupaten Bondowoso,5783.45,6530.86,6251.83,6207.22,24773.36
Kabupaten Situbondo,5988.16,6467.57,6640.27,6128.97,25224.98
Kabupaten Probolinggo,9847.65,11150.36,10811.59,10567.32,42376.92
Kabupaten Pasuruan,45002.65,46117.07,47219.1,48607.34,186946.17
Kabupaten Sidoarjo,65595.92,67877.93,69325.02,70899.2,273698.07
Kabupaten Mojokerto,24978.99,26057.39,26973.42,26354.44,104364.24
Kabupaten Jombang,11995.08,12559.44,13208.98,12220.98,49984.48
Kabupaten Nganjuk,8392.76,8439.99,8778.73,8035.46,33646.95
Kabupaten Madiun,5536.91,5764.56,6383.53,6148.01,23833.01
Kabupaten Magetan,5465.26,5671.32,5936.15,5849.54,22922.28
Kabupaten Ngawi,5795.79,5625.7,6449.34,6453.82,24324.65
Kabupaten Bojonegoro,24727.58,24688.75,25199.43,23356.05,97971.82
Kabupaten Tuban,20356.8,19838.74,20789.32,20875.2,81860.06
Kabupaten Lamongan,12372.14,12613.38,12557.72,11384.06,48927.3
Kabupaten Gresik,42853.64,44186.07,44278.74,44942.55,176261
Kabupaten Bangkalan,6878.22,6716.4,7207.31,6938.11,27740.03
Kabupaten Sampang,6021.32,6041.09,6308.57,5715.67,24086.65
Kabupaten Pamekasan,5318.21,5356.41,5310.43,4896.21,20881.25
Kabupaten Sumenep,10378.62,11086.1,11433.53,10068.34,42966.59
Kota Kediri,39335.82,38840.77,39977.33,41582.8,159736.72
Kota Blitar,2044.66,2132.58,2144.57,2193.35,8515.16
Kota Malang,22246.37,23082.1,23603.27,24121.7,93053.43
Kota Probolinggo,3346.91,3578.9,3672.31,3698.35,14296.47
Kota Pasuruan,2493.75,2549.72,2654.43,2701.98,10399.89
Kota Mojokerto,1951.36,2006.63,2007.05,2073.61,8038.66
Kota Madiun,4213.35,4261.11,4337.33,4444.43,17256.23
Kota Surabaya,172299.26,177158.92,181621.09,184215.43,715294.71
Kota Batu,4884.93,5230.16,5158.44,5251.89,20525.42
