nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,PERUSAHAAN BESAR,2023,1308
KABUPATEN BANYUWANGI,PERUSAHAAN BESAR,2023,4627
KABUPATEN BOJONEGORO,PERUSAHAAN BESAR,2023,2666
KABUPATEN BONDOWOSO,PERUSAHAAN BESAR,2023,1514
KABUPATEN GRESIK,PERUSAHAAN BESAR,2023,8095
KABUPATEN JEMBER,PERUSAHAAN BESAR,2023,4745
KABUPATEN JOMBANG,PERUSAHAAN BESAR,2023,4088
KABUPATEN LAMONGAN,PERUSAHAAN BESAR,2023,2443
KABUPATEN LUMAJANG,PERUSAHAAN BESAR,2023,1602
KABUPATEN MAGETAN,PERUSAHAAN BESAR,2023,1204
KABUPATEN NGANJUK,PERUSAHAAN BESAR,2023,1495
KABUPATEN NGAWI,PERUSAHAAN BESAR,2023,1961
KABUPATEN PACITAN,PERUSAHAAN BESAR,2023,1137
KABUPATEN PAMEKASAN,PERUSAHAAN BESAR,2023,1893
KABUPATEN PONOROGO,PERUSAHAAN BESAR,2023,1479
KABUPATEN SAMPANG,PERUSAHAAN BESAR,2023,801
KABUPATEN SIDOARJO,PERUSAHAAN BESAR,2023,17821
KABUPATEN SITUBONDO,PERUSAHAAN BESAR,2023,1334
KABUPATEN SUMENEP,PERUSAHAAN BESAR,2023,2144
KABUPATEN TRENGGALEK,PERUSAHAAN BESAR,2023,1085
KABUPATEN TUBAN,PERUSAHAAN BESAR,2023,2362
KABUPATEN TULUNGAGUNG,PERUSAHAAN BESAR,2023,2571
KOTA BATU,PERUSAHAAN BESAR,2023,1127
KOTA BLITAR,PERUSAHAAN BESAR,2023,3706
KOTA KEDIRI,PERUSAHAAN BESAR,2023,5320
KOTA MADIUN,PERUSAHAAN BESAR,2023,3334
KOTA MALANG,PERUSAHAAN BESAR,2023,13438
KOTA MOJOKERTO,PERUSAHAAN BESAR,2023,5016
KOTA PASURUAN,PERUSAHAAN BESAR,2023,5704
KOTA PROBOLINGGO,PERUSAHAAN BESAR,2023,2852
KOTA SURABAYA,PERUSAHAAN BESAR,2023,44950
