nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,PERUSAHAAN KECIL,2023,160
KABUPATEN BANYUWANGI,PERUSAHAAN KECIL,2023,733
KABUPATEN BOJONEGORO,PERUSAHAAN KECIL,2023,478
KABUPATEN BONDOWOSO,PERUSAHAAN KECIL,2023,147
KABUPATEN GRESIK,PERUSAHAAN KECIL,2023,1478
KABUPATEN JEMBER,PERUSAHAAN KECIL,2023,850
KABUPATEN JOMBANG,PERUSAHAAN KECIL,2023,428
KABUPATEN LAMONGAN,PERUSAHAAN KECIL,2023,711
KABUPATEN LUMAJANG,PERUSAHAAN KECIL,2023,148
KABUPATEN MAGETAN,PERUSAHAAN KECIL,2023,93
KABUPATEN NGANJUK,PERUSAHAAN KECIL,2023,254
KABUPATEN NGAWI,PERUSAHAAN KECIL,2023,149
KABUPATEN PACITAN,PERUSAHAAN KECIL,2023,108
KABUPATEN PAMEKASAN,PERUSAHAAN KECIL,2023,219
KABUPATEN PONOROGO,PERUSAHAAN KECIL,2023,276
KABUPATEN SAMPANG,PERUSAHAAN KECIL,2023,59
KABUPATEN SIDOARJO,PERUSAHAAN KECIL,2023,3136
KABUPATEN SITUBONDO,PERUSAHAAN KECIL,2023,213
KABUPATEN SUMENEP,PERUSAHAAN KECIL,2023,145
KABUPATEN TRENGGALEK,PERUSAHAAN KECIL,2023,81
KABUPATEN TUBAN,PERUSAHAAN KECIL,2023,480
KABUPATEN TULUNGAGUNG,PERUSAHAAN KECIL,2023,441
KOTA BATU,PERUSAHAAN KECIL,2023,197
KOTA BLITAR,PERUSAHAAN KECIL,2023,395
KOTA KEDIRI,PERUSAHAAN KECIL,2023,1007
KOTA MADIUN,PERUSAHAAN KECIL,2023,612
KOTA MALANG,PERUSAHAAN KECIL,2023,2511
KOTA MOJOKERTO,PERUSAHAAN KECIL,2023,897
KOTA PASURUAN,PERUSAHAAN KECIL,2023,1009
KOTA PROBOLINGGO,PERUSAHAAN KECIL,2023,478
KOTA SURABAYA,PERUSAHAAN KECIL,2023,10296
