Kabupaten/Kota,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Kabupaten Pacitan,3005.41,3054.34,3189.79,2995.43,12244.97
Kabupaten Ponorogo,3848.15,4002.72,4185.2,3833.98,15870.05
Kabupaten Trenggalek,3357.34,3519.24,3679.26,3656.23,14212.06
Kabupaten Tulungagung,7233.08,7691.13,7909.09,7401.3,30234.61
Kabupaten Blitar,6905.4,7313.55,7109.3,6911.6,28239.86
Kabupaten Kediri,7614.68,7978.4,8528.33,8074.09,32195.5
Kabupaten Malang,18392.47,18789.06,19212.26,19350.51,75744.29
Kabupaten Lumajang,5884.74,6420.41,6392.38,6110.82,24808.35
Kabupaten Jember,14045.56,15185.96,16031.21,14721.27,59984
Kabupaten Banyuwangi,14311.95,15382.49,15536.79,15617.12,60848.35
Kabupaten Bondowoso,3542.89,3972.53,3806.79,3753.41,15075.62
Kabupaten Situbondo,3594.13,3850.61,3932.08,3642.17,15018.99
Kabupaten Probolinggo,6095.67,6813.81,6603.36,6392.09,25904.93
Kabupaten Pasuruan,28943.38,29565.83,30073.94,30669.39,119252.55
Kabupaten Sidoarjo,39232.68,40035.91,40569.88,41112.31,160950.78
Kabupaten Mojokerto,16257.93,16775.73,17175.05,16773.96,66982.68
Kabupaten Jombang,7651.23,7960.62,8292.69,7698.23,31602.77
Kabupaten Nganjuk,5175.68,5172.23,5357.81,4892.85,20598.57
Kabupaten Madiun,3496.83,3622.42,3981.44,3795.12,14895.81
Kabupaten Magetan,3509.15,3619.52,3749.73,3684.29,14562.68
Kabupaten Ngawi,3571.8,3498.4,3932.77,3901.53,14904.51
Kabupaten Bojonegoro,16133.63,16269.2,15821.75,15086.12,63310.69
Kabupaten Tuban,12575,12105.34,12583.62,12720.27,49984.23
Kabupaten Lamongan,7759.23,7912.67,7818.37,7218.91,30709.18
Kabupaten Gresik,27814.28,28657.1,28557.48,28796.56,113825.43
Kabupaten Bangkalan,4304.99,4218.59,4409.1,4231.51,17164.2
Kabupaten Sampang,3690.35,3704.11,3813,3466.66,14674.11
Kabupaten Pamekasan,3229.8,3244.16,3201,2953.72,12628.69
Kabupaten Sumenep,6366.02,6785.71,6918.36,6174.7,26244.79
Kota Kediri,22653.69,22333.23,22945.23,23699.21,91631.35
Kota Blitar,1322.43,1370.59,1372.03,1390.76,5455.81
Kota Malang,14547.44,14953.48,15182.62,15436.28,60119.82
Kota Probolinggo,2227.33,2360.59,2418.14,2402.45,9408.51
Kota Pasuruan,1605.48,1632.95,1689.76,1708.89,6637.08
Kota Mojokerto,1318.43,1350.17,1348.53,1382.49,5399.62
Kota Madiun,2893.49,2910.77,2949.95,3010.19,11764.4
Kota Surabaya,111588.09,113922.84,116286.17,117233.61,459030.72
Kota Batu,3107.36,3312.45,3251,3265.79,12936.6
