nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,JUMLAH TENAGA KERJA,2023,8294
KABUPATEN BANYUWANGI,JUMLAH TENAGA KERJA,2023,79720
KABUPATEN BOJONEGORO,JUMLAH TENAGA KERJA,2023,71713
KABUPATEN BONDOWOSO,JUMLAH TENAGA KERJA,2023,9201
KABUPATEN GRESIK,JUMLAH TENAGA KERJA,2023,431031
KABUPATEN JEMBER,JUMLAH TENAGA KERJA,2023,117670
KABUPATEN JOMBANG,JUMLAH TENAGA KERJA,2023,162219
KABUPATEN LAMONGAN,JUMLAH TENAGA KERJA,2023,120264
KABUPATEN LUMAJANG,JUMLAH TENAGA KERJA,2023,45870
KABUPATEN MAGETAN,JUMLAH TENAGA KERJA,2023,18723
KABUPATEN NGANJUK,JUMLAH TENAGA KERJA,2023,59480
KABUPATEN NGAWI,JUMLAH TENAGA KERJA,2023,39798
KABUPATEN PACITAN,JUMLAH TENAGA KERJA,2023,14092
KABUPATEN PAMEKASAN,JUMLAH TENAGA KERJA,2023,11227
KABUPATEN PONOROGO,JUMLAH TENAGA KERJA,2023,14951
KABUPATEN SAMPANG,JUMLAH TENAGA KERJA,2023,1845
KABUPATEN SIDOARJO,JUMLAH TENAGA KERJA,2023,859581
KABUPATEN SITUBONDO,JUMLAH TENAGA KERJA,2023,33883
KABUPATEN SUMENEP,JUMLAH TENAGA KERJA,2023,12229
KABUPATEN TRENGGALEK,JUMLAH TENAGA KERJA,2023,5340
KABUPATEN TUBAN,JUMLAH TENAGA KERJA,2023,84516
KABUPATEN TULUNGAGUNG,JUMLAH TENAGA KERJA,2023,44009
KOTA BATU,JUMLAH TENAGA KERJA,2023,18839
KOTA BLITAR,JUMLAH TENAGA KERJA,2023,34792
KOTA KEDIRI,JUMLAH TENAGA KERJA,2023,123795
KOTA MADIUN,JUMLAH TENAGA KERJA,2023,89983
KOTA MALANG,JUMLAH TENAGA KERJA,2023,383645
KOTA MOJOKERTO,JUMLAH TENAGA KERJA,2023,263432
KOTA PASURUAN,JUMLAH TENAGA KERJA,2023,440554
KOTA PROBOLINGGO,JUMLAH TENAGA KERJA,2023,146319
KOTA SURABAYA,JUMLAH TENAGA KERJA,2023,1344969
