periode,status_penanaman_modal,regional,negara,sektor_utama,nama_sektor,deskripsi_kbli_2digit,provinsi,kabupaten_kota,jawa_luar_jawa,pulau,investasi_rp_juta,investasi_us_ribu,tki
2024 - Triwulan 4,PMA,Afrika,Eswatini,Sektor Sekunder,Industri Kimia Dan Farmasi,(20-2020) Industri Bahan Kimia Dan Barang Dari Bahan Kimia,Jawa Timur,Kabupaten Gresik,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Eswatini,Sektor Tersier,Perdagangan dan Reparasi,(33-2020) Reparasi dan pemasangan mesin dan peralatan,Jawa Timur,Kota Surabaya,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Eswatini,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kota Surabaya,Jawa,Jawa,20.8,1.4,1
2024 - Triwulan 4,PMA,Afrika,Mauritius,Sektor Sekunder,Industri Kimia Dan Farmasi,(20-2020) Industri Bahan Kimia Dan Barang Dari Bahan Kimia,Jawa Timur,Kabupaten Gresik,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Mauritius,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kabupaten Gresik,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Mauritius,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kabupaten Sidoarjo,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Mesir,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kabupaten Jember,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Mesir,Sektor Tersier,Perdagangan dan Reparasi,"(47-2020) Perdagangan Eceran, Bukan Mobil Dan Motor",Jawa Timur,Kabupaten Bondowoso,Jawa,Jawa,0,0,1
2024 - Triwulan 4,PMA,Afrika,Mesir,Sektor Tersier,Perdagangan dan Reparasi,"(47-2020) Perdagangan Eceran, Bukan Mobil Dan Motor",Jawa Timur,Kota Surabaya,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Karet dan Plastik,"(22-2020) Industri Karet, Barang Dari Karet Dan Plastik",Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,978.5,65.3,369
2024 - Triwulan 4,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Kimia Dan Farmasi,(20-2020) Industri Bahan Kimia Dan Barang Dari Bahan Kimia,Jawa Timur,Kabupaten Gresik,Jawa,Jawa,244.4,16.3,0
2024 - Triwulan 4,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Kimia Dan Farmasi,(20-2020) Industri Bahan Kimia Dan Barang Dari Bahan Kimia,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Lainnya,(31-2020) Industri Furnitur,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,19545.3,1303,0
2024 - Triwulan 4,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Lainnya,(32-2020) Industri pengolahan lainnya,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Seychelles,Sektor Sekunder,"Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya","(25-2020) Industri Barang Logam, Bukan Mesin Dan Peralatannya",Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Tekstil,(13-2020) Industri tekstil,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Seychelles,Sektor Tersier,Hotel dan Restoran,(55-2020) Penyediaan Akomodasi,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,1
2024 - Triwulan 4,PMA,Afrika,Seychelles,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kabupaten Gresik,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Seychelles,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,0
2024 - Triwulan 4,PMA,Afrika,Tunisia,Sektor Sekunder,Industri Makanan,(10-2020) Industri Makanan,Jawa Timur,Kota Surabaya,Jawa,Jawa,0,0,0
