Nama_Kabupaten_Kota,Garis_Kemiskinan_2022,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Nilai_Modal_Usaha_Kecil,Persen_Koperasi_Aktif,Persen_UMK
Kabupaten Pacitan,327758,70.19,13.8,,,
Kabupaten Ponorogo,362461,72.59,9.32,,,
Kabupaten Trenggalek,381448,71.28,10.96,,,
Kabupaten Tulungagung,391888,74.14,6.71,,,
Kabupaten Blitar,355511,72.25,8.71,,,
Kabupaten Kediri,353033,74.2,10.65,,,
Kabupaten Malang,367579,72.23,9.55,,,
Kabupaten Lumajang,352776,68.48,9.06,,,
Kabupaten Jember,400961,69.8,9.39,,,
Kabupaten Banyuwangi,414879,73.15,7.51,,,
Kabupaten Bondowoso,449760,69.91,13.47,,,
Kabupaten Situbondo,356133,69.76,11.78,,,
Kabupaten Probolinggo,475713,69.56,17.12,,,
Kabupaten Pasuruan,394016,71.29,8.96,,,
Kabupaten Sidoarjo,523213,81.37,5.36,,,
Kabupaten Mojokerto,445608,75.61,9.71,,,
Kabupaten Jombang,448830,74.66,9.04,,,
Kabupaten Nganjuk,474429,73.95,10.7,,,
Kabupaten Madiun,405127,73.51,10.79,,,
Kabupaten Magetan,396696,75.76,9.84,,,
Kabupaten Ngawi,382301,72.62,14.15,,,
Kabupaten Bojonegoro,403403,71.15,12.21,,,
Kabupaten Tuban,421287,70.79,15.02,,,
Kabupaten Lamongan,446601,74.83,12.53,,,
Kabupaten Gresik,536544,77.62,11.06,,,
Kabupaten Bangkalan,458754,66.11,19.44,,,
Kabupaten Sampang,411661,65.44,21.61,,,
Kabupaten Pamekasan,392345,69.35,13.93,,,
Kabupaten Sumenep,427882,68.49,18.76,,,
Kota Kediri,537326,80.12,7.23,,,
Kota Blitar,517363,80.15,7.37,,,
Kota Malang,609612,83.38,4.37,,,
Kota Probolinggo,575195,76.08,6.65,,,
Kota Pasuruan,486893,77.71,6.37,,,
Kota Mojokerto,531804,80.19,5.98,,,
Kota Madiun,551620,83.02,4.76,,,
Kota Surabaya,652540,83.32,4.72,,,
Kota Batu,564010,78.13,3.79,,,
Jawa Timur,460909,74.05,,,,
