Nama_Kabupaten_Kota,Garis_Kemiskinan_2023,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Nilai_Modal_Usaha_Kecil,Persen_Koperasi_Aktif,Persen_UMK
Kabupaten Pacitan,352606,70.94,13.65,0.17,,
Kabupaten Ponorogo,395069,73.18,9.53,0.21,,
Kabupaten Trenggalek,411527,71.96,10.63,0.14,,
Kabupaten Tulungagung,423875,74.65,6.53,0.22,,
Kabupaten Blitar,387733,72.84,8.69,0.25,,
Kabupaten Kediri,385874,74.68,10.72,0.34,,
Kabupaten Malang,399647,73.0,9.45,0.78,,
Kabupaten Lumajang,386995,69.37,8.93,0.22,,
Kabupaten Jember,441171,70.42,9.51,0.63,,
Kabupaten Banyuwangi,448928,73.79,7.34,0.45,,
Kabupaten Bondowoso,494000,70.56,13.34,0.07,,
Kabupaten Situbondo,396587,70.65,11.9,0.17,,
Kabupaten Probolinggo,514274,70.36,17.19,0.2,,
Kabupaten Pasuruan,429624,71.91,9.24,0.55,,
Kabupaten Sidoarjo,571696,81.88,5.0,1.48,,
Kabupaten Mojokerto,486520,76.23,9.8,0.34,,
Kabupaten Jombang,488754,75.16,9.15,0.31,,
Kabupaten Nganjuk,513565,74.7,10.89,0.15,,
Kabupaten Madiun,437296,74.02,11.04,0.13,,
Kabupaten Magetan,431203,76.3,9.8,0.21,,
Kabupaten Ngawi,413947,73.28,14.4,0.2,,
Kabupaten Bojonegoro,435936,71.8,12.18,0.36,,
Kabupaten Tuban,454336,71.4,14.91,0.25,,
Kabupaten Lamongan,481969,75.29,12.42,0.24,,
Kabupaten Gresik,588316,78.44,10.96,0.6,,
Kabupaten Bangkalan,503207,66.82,19.35,0.11,,
Kabupaten Sampang,454716,66.19,21.76,0.09,,
Kabupaten Pamekasan,431127,70.32,13.85,0.18,,
Kabupaten Sumenep,471860,69.13,18.7,0.25,,
Kota Kediri,587723,80.97,7.15,0.21,,
Kota Blitar,568280,80.78,7.3,0.17,,
Kota Malang,674660,84.0,4.26,0.76,,
Kota Probolinggo,628380,76.93,6.48,0.14,,
Kota Pasuruan,529512,78.3,6.6,0.18,,
Kota Mojokerto,581006,80.9,5.77,0.08,,
Kota Madiun,605131,83.71,4.74,0.13,,
Kota Surabaya,718370,83.99,4.65,3.1,,
Kota Batu,613985,79.07,3.31,0.12,,
Jawa Timur,507286,74.65,10.35,,,
